,max,min,mean,sterman
NE_MBB,2394,513,1052,513
NE_OH,766,480,596,480
NE_OP,1073,477,692,477
SC_OH,3309,713,1309,713
SC_OP,4176,946,1796,946
SC_SLP,169,148,160,169
SE_SLP,324,256,281,271
SE_LSP,305,244,284,283
