,max,min,mean,sterman
NE_MBB,346,263,317,263
NE_OH,571,374,468,374
NE_OP,250,212,235,212
SC_OH,271,196,223,271
SC_OP,271,247,260,247
SC_SLP,35,35,35,35
SE_SLP,35,34,34,35
SE_LSP,35,34,35,35
