,Sterman biomass,SE_LSP trf_linear  biomass,SE_LSP trf_linear (constrained) biomass,SE_LSP trf_soft_l1  biomass,SE_LSP trf_huber (constrained) biomass
46,130.3439512499505,130.38018761212217,130.36789573076828,130.4554173705895,130.41752717190002
47,130.36569980024188,130.39794818974494,130.38531603650145,130.47316661733493,130.43513250691657
48,130.38311940707052,130.41212467162111,130.39921434029068,130.48732841486878,130.44917626861735
49,130.3970707281103,130.4234396986905,130.41030210339767,130.49862722136587,130.46037834310908
50,130.40824366756482,130.43247043935062,130.41914729036623,130.5076414257458,130.46931333564484
51,130.4171911249452,130.4396777907036,130.42620323055928,130.51483271543526,130.4764398073188
52,130.42435611972562,130.44542974844506,130.43183170417583,130.52056957005166,130.4821236581841
53,130.43009357539168,130.45002009884368,130.4363213977611,130.52514604482923,130.48665681776845
54,130.43468780373126,130.45368336214818,130.43990265115414,130.52879678108988,130.49027217773002
55,130.43836653122213,130.45660673470158,130.44275923675326,130.53170899712785,130.49315551775612
56,130.44131214701142,130.4589396297043,130.44503776555635,130.53403206408854,130.49545502730558
57,130.44367072003845,130.46080129768268,130.44685519636533,130.53588515141502,130.49728890605618
58,130.44555922595598,130.46228691201037,130.44830482955666,130.53736332986898,130.498751429594
59,130.44707133811158,130.463472427923,130.4494610905373,130.53854244256644,130.49991778953265
60,130.44828206716076,130.46441846175443,130.45038334683187,130.5394829922547,130.50084795522645
61,130.44925147775461,130.46517338766034,130.45111895374205,130.5402332432142,130.50158975456415
62,130.45002766558892,130.46577580948644,130.4517056843002,130.54083169627071,130.50218133157475
63,130.4506491418113,130.4662565337434,130.4521736678706,130.54130906349093,130.50265310678614
64,130.4511467426397,130.4666401443025,130.45254693667917,130.54168984362258,130.5030293408692
65,130.45154515865232,130.4669462591625,130.45284465951897,130.54199357895388,130.5033293818016
66,130.45186415944644,130.46719053344611,130.4530821258779,130.54223585798377,130.50356865957616
67,130.45211957431462,130.46738545984792,130.45327153095894,130.54242911529093,130.50375947953754
68,130.45232407752488,130.46754100742493,130.45342260186425,130.5425832696075,130.50391165510086
69,130.45248781712303,130.46766513136944,130.45354309707304,130.54270623281758,130.50403301236318
70,130.45261891842918,130.46776417981732,130.45363920484695,130.54280431598542,130.50412979254077
71,130.4527238871931,130.46784321848492,130.45371586101265,130.5428825532409,130.50420697291716
72,130.4528079324019,130.46790628973102,130.4537770024346,130.54294496013895,130.5042685228009
73,130.45287522475076,130.46795661928766,130.45382576919118,130.5429947397477,130.50431760765176
74,130.45292910359802,130.46799678123028,130.45386466583463,130.5430344470403,130.50435675187052
75,130.45297224267082,130.4680288296227,130.4538956900147,130.54306612002603,130.5043879686227
76,130.45300678274302,130.46805440356806,130.45392043507096,130.54309138434988,130.5044128633716
77,130.45303443786727,130.46807481103835,130.45394017186166,130.54311153672836,130.50443271644468
78,130.45305658043276,130.46809109576893,130.45395591403147,130.54312761150356,130.50444854887908
79,130.45307430926871,130.4681040906394,130.4539684700695,130.54314043373103,130.5044611749326
80,130.45308850417317,130.46811446027056,130.45397848483148,130.54315066152625,130.50447124396024
81,130.45309986957253,130.46812273501607,130.45398647265796,130.54315881984286,130.5044792738101
82,130.45310896947856,130.4681293380871,130.45399284378988,130.5431653274162,130.50448567745585
83,130.4531162554774,130.46813460719727,130.45399792543773,130.54317051825538,130.50449078423603
84,130.45312208913958,130.468138811835,130.4540019785863,130.54317465878665,130.50449485679164
85,130.4531267599629,130.4681421670463,130.45400521139845,130.54317796152796,130.50449810457366
86,130.45313049973902,130.4681448444334,130.45400778990606,130.54318059599666,130.50450069461513
87,130.4531334940559,130.4681469809312,130.45400984653696,130.54318269741017,130.50450276012157
88,130.4531358915078,130.4681486858109,130.4540114869163,130.54318437362622,130.50450440732175
89,130.45313781106935,130.4681500462685,130.45401279529128,130.54318571067873,130.50450572093104
90,130.4531393479997,130.4681511318846,130.45401383885786,130.54318677719365,130.50450676850826
91,130.45314057856967,130.46815199818312,130.4540146712119,130.5431876279112,130.50450760393022
92,130.4531415638469,130.46815268947083,130.45401533510176,130.5431883064956,130.50450827016255
93,130.45314235272625,130.46815324110364,130.4540158646237,130.54318884777607,130.50450880146954
94,130.4531429843562,130.46815368129487,130.4540162869731,130.5431892795345,130.5045092251763
95,130.45314349008171,130.46815403255803,130.4540166238411,130.54318962393143,130.50450956307395
96,130.45314389499958,130.4681543128586,130.45401689252878,130.5431898986435,130.5045098325406
97,130.45314421920412,130.46815453653244,130.45401710683547,130.54319011777065,130.50451004743485
98,130.45314447878414,130.46815471501938,130.45401727776755,130.54319029255987,130.50451021880872
99,130.4531446866214,130.46815485744816,130.45401741410384,130.54319043198245,130.504510355476
100,130.4531448530299,130.46815497110327,130.45401752284636,130.54319054319444,130.5045104644654
101,130.45314498626774,130.46815506179763,130.45401760957998,130.5431906319039,130.50451055138228
102,130.45314509294695,130.46815513416982,130.45401767875913,130.54319070266402,130.50451062069678
103,130.4531451783615,130.46815519192126,130.45401773393678,130.54319075910664,130.50451067597368
104,130.45314524675013,130.46815523800566,130.45401777794675,130.5431908041287,130.50451072005592
105,130.45314530150668,130.46815527478003,130.45401781304935,130.54319084004106,130.50451075521062
106,130.45314534534847,130.4681553041252,130.45401784104735,130.54319086868696,130.50451078324582
107,130.45314538045113,130.468155327542,130.45401786337868,130.54319089153668,130.5045108056033
108,130.4531454085567,130.46815534622814,130.45401788119028,130.543190909763,130.50451082343295
