,usda_soil,usda_biomass
0,56.3,4.2
5,49.2,14.4
10,48.1,24.9
15,47.9,33.7
20,48.6,42.9
25,49.3,51.5
30,50.4,59.7
35,51.4,68.6
40,52.6,79.1
45,53.7,88.5
50,54.7,97.5
55,55.7,106.0
60,56.6,114.0
65,57.5,121.4
70,58.3,128.6
75,59.0,134.9
80,59.7,140.8
85,60.4,146.5
90,60.9,151.6
