,Sterman soil,SC_OH trf_linear  soil,SC_OH trf_linear (constrained) soil,SC_OH trf_soft_l1 (constrained) soil,SC_OH trf_huber (constrained) soil,SC_OH dogbox_huber (constrained) soil
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,56.3,56.3,56.3,56.3,56.3,56.3
1,55.966674934226745,56.25141859079668,56.0289049943665,56.07606181783653,56.0888795048998,56.08890041826744
2,55.64638158293087,56.207262007711215,55.76816452909412,55.86072190962763,55.88597849259689,55.88602455539093
3,55.33898447581219,56.167543901800606,55.517735484766376,55.6539833931155,55.691288281776785,55.691363452845856
4,55.0443717502149,56.13227724849801,55.27758201635286,55.45584720885395,55.504799134226275,55.50490709861014
5,54.76244696248207,56.10147431630867,55.04767277470418,55.266312067213015,55.32650020956857,55.32664438226996
6,54.49312389261132,56.07514663478004,54.827979024468725,55.085374405456875,55.156379519102686,55.156563049235785
7,54.23632307079586,56.053304962136785,54.61847331505234,54.91302835227822,54.99442387939775,54.99464965471832
8,53.99196936168576,56.035959252848734,54.41912851167676,54.74926569825116,54.840618866081584,54.840889517902426
9,53.759990232644256,56.02311862532979,54.22991707133352,54.59407587126,54.69494876814149,54.695266676635725
10,53.540314483052065,56.01479132992355,54.05081049141406,54.44744591630643,54.55739654298293,54.55776384287639
11,53.33287129522013,56.01098471730527,53.88177888389051,54.30936047930627,54.42794377244665,54.42836235909918
12,53.13758951621634,56.01170520741378,53.7227906432419,54.17980179461651,54.306570619956084,54.30704215583024
13,52.954397109632296,56.01695825901575,53.5738121860317,54.05874967611527,54.19325578894768,54.19378171046203
14,52.78322073511714,56.02674833999797,53.43480774639759,53.94618151171037,54.087976482724486,54.08855800748702
15,52.623985425778706,56.04107889847842,53.305739215989284,53.84207226118548,53.99070836586357,53.99134650027961
16,52.47661434178715,56.0599523348233,53.18656601983586,53.746394457314366,53.9014255273018,53.90212107454883
17,52.34102858417463,56.08336997465472,53.07724502169625,53.6591182101867,53.82010044521872,53.82085401357959
18,52.217147056796556,56.11133204293148,52.97773045393272,53.58021121469583,53.7467039538313,53.74751596537524
19,52.104886367260995,56.143837639183445,52.88797386802997,53.50963876114268,53.68120521221081,53.682075911810585
20,52.0041607597002,56.18088471397817,52.807924102684204,53.44736374890979,53.6235716752287,53.62450113990034
21,51.91488207378558,56.22247004669637,52.73752726698782,53.39334670315862,53.57376906673393,53.57475721528428
22,51.836959725532445,56.268589224690636,52.676726736691776,53.34754579450018,53.53176135506034,53.532807958026005
23,51.77030070630987,56.31923662389947,52.62546316187924,53.30991686158508,53.49751073095813,53.49861542081797
24,51.71480959713903,56.3744053909861,52.58367448465615,53.28041343655515,53.470977588038586,53.47213986968054
25,51.67038859588237,56.434087427068384,52.55129596567879,53.25898677329345,53.452120505816104,53.45333976723775
26,51.63693755533364,56.49827337310304,52.52826021850768,53.24558587840484,53.440896235425946,53.44217175864687
27,51.614354030542046,56.5669525969837,52.51449725091307,53.2401575448539,53.43725968808997,53.43859066025277
28,51.60253333396298,56.64011318240836,52.50993451236646,53.24264638818192,53.441163926396214,53.44254945103185
29,51.601368597236764,56.71774191956766,52.51449694704244,53.25299488521957,53.452560158451135,53.45399926688328
30,51.61075083856766,56.79982429770049,52.52810705172793,53.27114341520717,53.471397734956206,53.47288939781811
31,51.63056903481558,56.886344499559065,52.550684938097575,53.29703030322942,53.49762414925255,53.49916728808929
32,51.6607101975292,56.97728539781985,52.58214839886471,53.330591865867476,53.53118504036948,53.532778539297475
33,51.7010594522464,57.072628553471624,52.622412977360945,53.371762458966764,53.57202419910419,53.57366691649937
34,51.75150012046972,57.17235421620617,52.67139204013437,53.42047452741534,53.62008357715134,53.62177435733667
35,51.81191380379395,57.276441326831105,52.72899685218851,53.47665865682409,53.67530329929214,53.67704098419496
36,51.88218046972227,57.38486752171814,52.79513665451202,53.54024362699696,53.73762167864349,53.739405119392714
37,51.96217853875865,57.49760913929411,52.869718743573955,53.61115646707665,53.80697523495846,53.8088033033916
38,52.05178497240819,57.614641228575245,52.952648552481364,53.68932251224906,53.883298715959796,53.88517031600982
39,52.15087536175595,57.73593755973902,53.04382973351579,53.77466546188776,53.96652512167888,53.968439200610945
40,52.25932401632867,57.86147063672111,53.14316424178336,53.86710743901801,54.05658573176292,54.05854129123137
41,52.37700405297382,57.99121171181845,53.250552419729466,53.96656905097929,54.15341013570373,54.155406242600236
42,52.50378748451699,58.12513080227294,53.36589308228461,54.072969451163964,54.25692626593223,54.25896206299632
43,52.639545307982566,58.263196708803605,53.48908360242186,54.18622640170989,54.36706043371344,54.36913514987759
44,52.78414759218377,58.40537703604877,53.62001999692003,54.30625633702443,54.483737367767965,54.485850328210134
45,52.9374635645079,58.55163821487343,53.75859701213901,54.432974428018206,54.60688025553704,54.609030891414456
46,53.099361696739514,58.70194552649091,53.904708209625795,54.56629464692728,54.73641078699996,54.73859864483919
47,53.26970978978071,58.85626312834199,54.058246051381005,54.706129832604084,54.87224920094465,54.874473951664065
48,53.448375057141924,59.01455408166892,54.219101984626604,54.8523917561585,55.01431433358436,55.01657578112652
49,53.63522420709,59.17678038071648,54.38716652592587,55.00499118683272,55.16252366940644,55.16482175895933
50,53.83012352335261,59.342902983487086,54.56232934451667,55.16383795799538,55.316793394132446,55.319128219919875
51,54.032938944289334,59.51288184397211,54.74447934472876,55.328841033143064,55.477038449662416,55.479410262285754
52,54.243536140449955,59.68667594577729,54.933504747365006,55.499908571799885,55.64317259087085,55.64558180418576
53,54.4617805904504,59.86424333705601,55.12929316993539,55.67694799520902,55.81510844411668,55.817555641630285
54,54.68753765510549,60.04554116666071,55.3317317056412,55.85986605171295,55.99275756732523,55.99524350810098
55,54.920672649765834,60.23052572141938,55.540707001015264,56.04856888172295,56.17603051149619,56.17855613555555
56,55.161050914814226,60.41915246444143,55.75610533213193,56.24296208218173,56.364836883488714,56.367403316700674
57,55.40853788428349,60.611376074354915,55.9778126793082,56.442950770426954,56.5590854099321,56.56169396838332
58,55.66299915256486,60.80715048537517,56.20571480022505,56.64843964736754,56.75868400210873,56.761336195949156
59,55.92430053918169,61.006428928103624,56.439697301404884,56.85933305988831,56.96353982165481,56.966237358415455
60,56.19230815160937,61.2091639709546,56.679645707988094,57.07553506240313,57.17355934692396,57.17630413430535
