,Sterman soil,SC_OP trf_linear  soil,SC_OP trf_linear (constrained) soil,SC_OP trf_soft_l1 (constrained) soil,SC_OP trf_huber (constrained) soil,SC_OP trf_cauchy (constrained) soil
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,64.4,64.4,64.4,64.4,64.4,64.4
1,64.1274580009588,64.35810409885903,64.18337352615208,64.21904835205946,64.22788452403431,64.25521973600782
2,63.866011732401205,64.32050206096132,63.97610193268176,64.04603503639424,64.06333530755056,64.11694085626286
3,63.61556459949007,64.28717039724692,63.77810620148705,63.88089028583999,63.90629587386217,63.98510883742116
4,63.37601869469044,64.25808426170293,63.58930508031243,63.72354383342298,63.756707840408204,63.85966956424536
5,63.147274875749865,64.23321762383485,63.409615403043006,63.57392494226774,63.61451117370402,63.740569081845535
6,62.92923283079035,64.21254340060163,63.23895233806663,63.43196242952767,63.479644384189584,63.62775343214657
7,62.72179113573362,64.19603356195536,63.07722958915197,63.297584687016226,63.35204468213941,63.52116854194559
8,62.524847306942775,64.18365921815212,62.92435956311242,63.17071969999239,63.23164810680508,63.420760144750645
9,62.33829785078418,64.17539069389966,62.780253513193905,63.05129506494065,63.1183896363117,63.32647372587762
10,62.162038311168025,64.17119759265964,62.6448216640938,62.939238006852136,63.01220328321627,63.23825448419887
11,61.99596331574859,64.17104885337233,62.51797332268303,62.83447539632082,62.91302217907171,63.15604730619169
12,61.83996662123321,64.17491280120849,62.399616977336045,62.736933766651816,62.82077865035386,63.079796749305494
13,61.69394115810029,64.18275719351658,62.289660387999376,62.64653933110507,62.735404287462,63.009447032537885
14,61.557779074928064,64.19454926183613,62.18801066859918,62.56321800034969,62.65683000806341,62.94494203268425
15,61.431371782468474,64.2102557506399,62.09457436301413,62.486895400172486,62.584986115744925,62.88622528511648
16,61.31460999755345,64.22984295331743,62.00925751556974,62.417496889462114,62.519802354714194,62.833239988219574
17,61.207383786887426,64.25327674580308,61.93196573681077,62.35494757847549,62.461207961131606,62.78592901081039
18,61.10958261075548,64.28052261816913,61.862604265158325,62.29917234738235,62.40913171153349,62.744234902005545
19,61.02109536665863,64.31154570444248,61.80107802494409,62.25009586507641,62.363501968716044,62.708099903111496
20,60.94181043287467,64.346310810855,61.74729168122487,62.20764260823629,62.32424672537879,62.67746596119039
21,60.87161571193294,64.38478244270021,61.70114969171165,62.17173688061564,62.29129364577201,62.65227474401661
22,60.81039867398406,64.42692482993924,61.6625563560916,62.14230283253916,62.2645701055491,62.632467656186925
23,60.75804640004013,64.47270195167535,61.631415862977576,62.11926448057945,62.2440032299908,62.61798585618518
24,60.71444562505678,64.52207755959715,61.60763233468359,62.10254572738841,62.229519930740416,62.608770274232135
25,60.67948278082559,64.57501520047529,61.591109869995606,62.09207038165611,62.22104694116685,62.6047616307758
26,60.653044038643046,64.63147823778456,61.58175258508307,62.087762178169726,62.218510850454315,62.605900455496986
27,60.635015351721144,64.69142987251311,61.57946465267674,62.08954479794494,62.22183813650229,62.6121271067214
28,60.62528249730342,64.75483316321171,61.584150339621615,62.09734188840222,62.230955197707274,62.62338179114286
29,60.62373111845028,64.82165104532884,61.595714042900404,62.111077083560836,62.24578838368749,62.63960458377374
30,60.63024676545706,64.89184634987144,61.61406032421094,62.130674024223644,62.26626402500338,62.66073544804817
31,60.64471493686865,64.96538182142598,61.63909394317135,62.15605637812629,62.292308461919376,62.686714256011896
32,60.66702112005514,65.04222013557033,61.67071988921846,62.1871478600249,62.323848072246754,62.71748080853945
33,60.69705083131344,65.12232391570336,61.70884341225771,62.22387225169727,62.36080929830219,62.7529748555257
34,60.734689655460905,65.20565574931594,61.75337005211704,62.26615342183285,62.403118673012536,62.79313611600392
35,60.779823284887904,65.29217820372462,61.80420566685189,62.31391534578788,62.45070284519269,62.8379042981473
36,60.832337558037544,65.38185384128711,61.86125645994391,62.3670821251829,62.50348860402061,62.88721911911505
37,60.892118497282,65.47464523411635,61.92442900643243,62.42557800732013,62.56140290273086,62.94102032470782
38,60.959052346166125,65.57051497830892,61.9936302780143,62.489327404399866,62.62437288154594,62.99924770880056
39,61.03302560599063,65.66942570770185,62.06876766714475,62.55825491251521,62.69232588986298,63.06184113252396
40,61.11392507170848,65.77134010717056,62.14974901016974,62.63228533040572,62.765189507711845,63.12874054316829
41,61.201637867109625,65.87622092548014,62.2364826095179,62.711343677951405,62.842891566499304,63.19988599278609
