,Sterman soil,NE_OH trf_linear  soil,NE_OH trf_linear (constrained) soil,NE_OH trf_soft_l1 (constrained) soil,NE_OH trf_huber  soil,NE_OH trf_huber (constrained) soil
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,108.0,108.0,108.0,108.0,108.0,108.0
1,106.39661102026326,106.77351697545333,106.43804991398953,106.6001711391088,107.08856180599918,106.62068628341446
2,104.84418484958822,105.58230865059822,104.92512912923837,105.24251761828103,106.2011886024571,105.28212591759704
3,103.3414590417939,104.42574589273362,103.46026058948496,103.92613005916796,105.33741624176224,103.98351271720877
4,101.88726374424245,103.30321003656451,102.04248351814655,102.65013455094122,104.49680295842927,102.72406315525205
5,100.48049817136389,102.21409256156178,100.67085323655824,101.41368723474235,103.67892534096389,101.5030138265705
6,99.1201157220484,101.15779481944881,99.34444096662476,100.21597051286544,102.88337553951108,100.31961959972126
7,97.80511396741637,100.13372779557689,98.06233362407652,99.0561902559339,102.10975922915281,99.1731522066431
8,96.53452759211646,99.1413118945145,96.82363360608056,97.93357366255113,101.35769406553833,98.06289912698018
9,95.30742323025719,98.17997674371198,95.62745857561117,96.84736756657749,100.62680847732568,96.9881626796634
10,94.12289557196172,97.2491610111502,94.47294124418997,95.79683706352607,99.91674069814657,95.94825926552686
11,92.98006435338112,96.34831223413555,93.35922915411189,94.7812643717251,99.22713797437287,94.94251872324158
12,91.87807197963201,95.47688665720611,92.28548446095091,93.79994787078179,98.55765590534722,93.97028377237004
13,90.81608161275571,94.63434907764918,91.25088371692357,92.85220127696329,97.90795788566254,93.03090952481051
14,89.7932756087852,93.82017269749723,90.25461765553771,91.9373529263545,97.2777146275672,92.12376305090314
15,88.80885422183357,93.0338389811288,89.29589097784651,91.05474514428346,96.66660374732798,91.24822298991853
16,87.86203451577487,92.27483751778864,88.37392214055018,90.20373368481962,96.07430940338709,90.4036791970876
17,86.9520494396497,91.54266588847969,87.48794314612934,89.38368722793943,95.50052197700137,89.58953242109241
18,86.07814703385716,90.83682953678354,86.63719933515061,88.59398692470758,94.9449377881233,88.80519400723398
19,85.23958974202002,90.15684164324593,85.82094918085109,87.83402598286183,94.40725884081698,88.05008562246375
20,84.43565380911437,89.50222300302492,85.03846408608267,87.10320928672344,93.88719259365423,87.32363899920361
21,83.66562875067775,88.8725019065485,84.28902818267636,86.400953046525,93.38445175141537,86.62529569544776
22,82.92881688108042,88.26721402296626,83.57193813327088,85.72668447315257,92.89875407509822,85.95450686908381
23,82.2245328912569,87.68590228621149,82.88650293563627,85.0798414750065,92.42982220777051,85.3107330647206
24,81.55210346815144,87.1281167835143,82.23204372951356,84.45987237424454,91.97738351421995,84.69344401158938
25,80.91086694957548,86.59341464622781,81.6078936059822,83.86623564011765,91.54116993269247,84.10211843130983
26,80.30017300930984,86.08135994284592,81.01339741936052,83.2983996374688,91.1209178372779,83.53624385449467
27,79.71938236818505,85.59152357410552,80.44791160163868,82.75584238875697,90.71636790972299,82.99531644531588
28,79.16786652759203,85.12348317007806,79.91080397943874,82.23805134820863,90.32726501963019,82.47884083327897
