,Sterman soil,NE_OP trf_linear  soil,NE_OP trf_linear (constrained) soil,NE_OP trf_soft_l1  soil,NE_OP trf_soft_l1 (constrained) soil,NE_OP trf_huber  soil,NE_OP trf_huber (constrained) soil,NE_OP dogbox_huber (constrained) soil
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,126.6,126.6,126.6,126.6,126.6,126.6,126.6,126.6
1,125.38827387488989,125.84388462913886,125.46292539103636,126.11833883356157,125.61906441770829,126.12958507782048,125.6150040068569,125.63144617340494
2,124.20956740449029,125.10872228404277,124.35788947954192,125.65072476323674,124.6648116249469,125.67296911842938,124.65716256402408,124.68869796764578
3,123.06363613882665,124.39436248862067,123.28459870407112,125.19706082448931,123.73701014561273,125.23005504730499,123.72621776253429,123.7715565472574
4,121.95026516865084,123.70065626509736,122.24277488881448,124.75724655885944,122.83543638165331,124.80074236889885,122.82191546640759,122.87983174382124
5,120.86925546904378,123.02745413692134,121.23214729671483,124.33117840537231,121.95987027891772,124.38492755919975,121.94400330389911,122.01333708901822
6,119.82041550125014,122.37460492565103,120.2524478662881,123.91875000164296,121.11009269067274,123.98250436865148,121.09222937967228,121.17188679361854
7,118.80355575006983,121.74195499775799,119.30340820348955,123.5198524264752,120.2858836946531,123.59336406678185,120.26634141277562,120.35529381806086
8,117.81848502658768,121.12934778582928,118.3847576180933,123.13437440231357,119.48702148666558,123.21739564667791,119.46608614414616,119.56336860195441
9,116.86500789611243,120.53662348673633,117.4962218191502,122.76220246893375,118.71328164295825,122.85448600057558,118.69120892401342,118.79591821434695
10,115.94292285799071,119.96361887906714,116.63752204601461,122.40322113582408,117.9644366291557,122.50452007395386,117.94145342455153,118.0527457849655
11,115.05202104800244,119.41016722384198,115.80837449824662,122.05731301834712,117.2402554800895,122.16738100319023,117.21656144278234,117.33365013004763
12,114.19208531632567,118.87609822510977,115.00848997705725,121.72435896127459,116.54050360163895,121.84295024035525,116.5162727704002,116.63842551708125
13,113.3628895832965,118.36123803465172,114.23757368041247,121.40423815230417,115.86494266185966,121.53110766774962,115.84032511443154,115.96686153125793
14,112.56419840582709,117.86540928983064,113.49532511219755,121.09682822749448,115.21333054881843,121.23173170412082,115.18845405730941,115.3187430180219
15,111.79576670705283,117.38843117676095,112.78143807759419,120.80200537008339,114.58542137913172,120.94469940402857,114.5603930480474,114.69385008358906
16,111.05733963483002,116.93011951307761,112.0956007445982,120.51964440381548,113.98096554559669,120.66988655149149,113.955873418318,114.09195814030214
17,110.34865252356818,116.4902868460286,111.43749575688597,120.2496188816552,113.3997097953104,120.40716774879915,113.37462441872566,113.51283798709645
18,109.66943094003932,116.06874256263146,110.80680038690616,119.99180117057594,112.84139733177615,120.15641650118826,112.81637327162535,112.95625591773091
19,109.01939079817134,115.66529300936321,110.20318672067447,119.74606253297318,112.30576793599823,119.91750529794001,112.28084523761021,112.42197385113515
20,108.39823853098868,115.27974161938423,109.62632186762885,119.51227320514043,111.79255810265767,119.69030569034663,111.76776369336365,111.90974947945251
21,107.80567131018246,114.911889045691,109.07586819028467,119.29030247316125,111.30150118826798,119.47468836690939,111.2768502190018,111.41933643026677
22,107.24137730552702,114.56153329889014,108.55148354946061,119.08001874650287,110.83232756881497,119.27052322606309,110.80782469335993,110.95048444017834
23,106.70503597767743,114.2284698885128,108.05282156162936,118.88128962954342,110.38476480484476,119.0776794466679,110.36040539593029,110.50293953741338
24,106.19631839889904,113.91249196696492,107.579531865549,118.69398199122082,109.95853781231918,118.89602555646604,109.93430911435746,110.07644423154545
25,105.71488759707742,113.61339047534729,107.1312603958009,118.5179620329569,109.5533690378351,118.72542949866553,109.52925125655429,109.67073770872095
26,105.26039891898996,113.33095429048937,106.70764966123116,118.35309535498135,109.16897863702359,118.56575869678454,109.14494596662766,109.2855560310248
27,104.83250040933318,113.06497037263003,106.30833902659079,118.19924702115647,108.80508465512034,118.41688011786614,108.7811062439059,108.92063233881944
28,104.43083320241887,112.81522391325086,105.93296499591065,118.05628162238483,108.46140320884142,118.27866033415387,108.43744406444281,108.57569705505021
29,104.05503192380172,112.58149848262825,105.5811614963466,117.92406333866543,108.13764866881444,118.15096558330238,108.11367050444362,108.25047809064088
30,103.70472509939579,112.36357617672041,105.25256016139465,117.8024559998512,107.8335338419129,118.03366182718389,107.80949586511562,107.94470105021226
31,103.37953556988947,112.16123776304894,104.94679061251571,117.69132314514934,107.54877015292159,117.92661480934048,107.52462979849642,107.65808943744827
32,103.07908090848755,111.9742628252708,104.6634807383274,117.59052808139715,107.28306782503023,117.82969011112239,107.25878143385471,107.39036485951179
33,102.80297384020096,111.80242990616915,104.40225697062274,117.49993394013852,107.0361360587113,117.74275320654539,107.0116595042953,107.14124722997964
34,102.55082266107571,111.64551664881901,104.16274455656409,117.4194037335196,106.80768320858887,117.6656695158934,106.78297247323226,106.91045496982414
35,102.32223165590528,111.50329993570918,103.94456782647833,117.34880040901764,106.59741695794955,117.59830445808764,106.57242866042277,106.69770520602012
36,102.11680151310954,111.37555602562382,103.74735045674868,117.28798690301237,106.40504449058639,117.54052350183885,106.37973636727924,106.5027139674012
37,101.93412973558922,111.26206068810775,103.5707157273596,117.23682619320593,106.23027265970097,117.49219221559588,106.20460400120078,106.3251963774299
38,101.77381104648157,111.16258933535734,103.41428677370679,117.195181349895,106.07280815362009,117.45317631630073,106.0467401986855,106.1648668435824
39,101.63543778884912,111.07691715139643,103.27768683233427,117.16291558609606,105.93235765811212,117.42334171695796,105.90585394700453,106.02143924308197
40,101.51860031843347,111.0048192184118,103.16053948030577,117.13989230652354,105.8086280151132,117.40255457302455,105.78165470423622,105.89462710474525
41,101.42288738869783,110.94607064013724,103.06246886795954,117.12597515541903,105.70132637769667,117.39068132762458,105.67385251747554,105.784143786733
42,101.34788652746829,110.90044666218897,102.9830999448333,117.12102806322925,105.61016036114128,117.38758875559249,105.5821581390488,105.68970265002265
43,101.29318440456446,110.86772278926746,102.92205867858141,117.12491529212943,105.53483818997229,117.39314400634747,105.50628314057857,105.61101722744361
44,101.25836718988522,110.84767489915247,102.87897226673807,117.13750148038885,105.47506884086876,117.40721464560126,105.44594002475696,105.54780138813757
45,101.24302090148593,110.84007935342926,102.85346934121065,117.1586516855751,105.4305621813466,117.42966869590123,105.40084233469842,105.4997694973273
46,101.24673174324926,110.84471310489451,102.84518016541422,117.1882314265937,105.4010291041428,117.46037467601083,105.37070476075556,105.46663657129537
47,101.26908643181386,110.86135380159962,102.85373682398404,117.22610672456011,105.3861816572406,117.49920163912905,105.35524324469273,105.44811842749252
48,101.30967251248282,110.88977988749906,102.87877340502612,117.27214414250152,105.38573316948944,117.54601920995133,105.35417508112356,105.44393182971172
49,101.36807866388752,110.92977069967945,102.91992617488765,117.3262108238865,105.39939837178535,117.60069762057425,105.36721901612876,105.4537946282792
50,101.44389499123348,110.9811065621536,102.97683374544917,117.3881745299811,105.42689351378986,117.66310774524713,105.39409534298113,105.47742589522814
51,101.53671330800121,111.04356887621121,103.0491372339589,117.45790367603095,105.46793647617615,117.73312113397381,105.4345259949135,105.51454605443426
52,101.64612740601912,111.11694020732529,103.13648041544656,117.53526736626935,105.52224687840152,117.81061004496893,105.48823463487535,105.56487700670502
53,101.7717333138656,111.20100436861983,103.23850986776974,117.6201354277528,105.5895461820145,117.89544747597321,105.55494674223195,105.62814224982529
54,101.9131295435954,111.29554650091119,103.35487510936021,117.71237844302557,105.66955778951417,117.98750719443338,105.63438969636846,105.70406699357424
55,102.06991732581953,111.4003531493408,103.4852287297507,117.81186778161671,105.76200713878694,118.08666376655255,105.72629285716947,105.79237826973707
56,102.24170083319993,111.51521233662312,103.62922651297478,117.91847563037295,105.86662179315412,118.19279258521837,105.83038764235177,105.89280503714532
57,102.42808739244934,111.63991363293741,103.78652755394292,118.03207502263274,105.9831315270703,118.30576989681609,105.94640760163556,106.0050782817879
58,102.62868768495339,111.77424822249682,103.95679436790832,118.15253986624701,106.11126840751912,118.42547282693535,106.07408848774608,106.12893111204282
59,102.84311593615597,111.91800896683307,104.1396929931443,118.27974497045372,106.25076687115909,118.5517794049796,106.21316832424398,106.2640988490871
60,103.07099009387132,112.07099046483849,104.33489308696338,118.41356607161374,106.40136379727733,118.68456858768826,106.36338747018917,106.4103191125489
61,103.3119319957054,112.23298910961151,104.54206801521488,118.55387985781694,106.56279857661433,118.82372028158211,106.52448868164844,106.56733190147203
62,103.56556752578719,112.40380314215496,104.76089493540447,118.70056399236813,106.73481317612718,118.96911536434345,106.69621717006264,106.73487967066868
63,103.83152676102623,112.58323270197963,104.99105487358406,118.85349713616343,106.91715219976281,119.1206357051431,106.87832065749454,106.91270740254117
64,104.10944410712615,112.77107987466847,105.23223279516542,119.0125589689684,107.10956294531681,119.27816418392719,107.07054942878301,107.10056267445788
65,104.39895842459653,112.96714873645952,105.4841176698147,119.1776302096104,107.31179545745597,119.44158470967699,107.27265638063399,107.29819572177281
66,104.6997131450154,113.17124539590763,105.74640253058827,119.34859263509813,107.52360257698646,119.61078223765615,107.48439706768261,107.5053594965817
67,105.01135637780384,113.38317803268755,106.01878452747336,119.52532909868242,107.74473998645152,119.78564278566009,107.70552974556502,107.72180972231054
68,105.33354100778118,113.60275693360244,106.30096497549835,119.70772354687263,107.97496625214482,119.96605344928267,107.93581541104189,107.94730494423531
69,105.66592478377572,113.8297945258634,106.59264939757988,119.89566103542434,108.214042862628,120.15190241621632,108.17501783921905,108.18160657603418
70,106.00817039857029,114.0641054077074,106.89354756227458,120.08902774431408,108.46173426384185,120.34307897960184,108.42290361791369,108.42447894247479
71,106.35994556046569,114.30550637642139,107.20337351660368,120.28771099171784,108.71780789090245,120.53947355044488,108.67924217921734,108.67568931834158
72,106.72092305674742,114.55381645384206,107.52184561411921,120.49159924701058,108.98203419667436,120.74097766911638,108.94380582830959,108.93500796370867
73,107.0907808093426,114.80885690940094,107.84868653838012,120.70058214280444,109.25418667721368,120.94748401595474,109.21636976957858,109.20220815566542
74,107.46920192295431,115.07045128078525,108.18362332200564,120.91455048604404,109.53404189417458,121.15888642098801,109.4967121301064,109.47706621660184
75,107.85587472596042,115.33842539228526,108.52638736147284,121.13339626817746,109.82137949427306,121.37507987279429,109.7846139805796,109.7593615391618
76,108.25049280436244,115.61260737089928,108.87671442782329,121.35701267442211,110.11598222590182,121.59596052651942,110.07985935368625,110.04887660797203
77,108.6527550290685,115.89282766026712,109.2343446734427,121.58529409214498,110.41763595299001,121.8214257110709,110.38223526006267,110.34539701825457
78,109.0623655767914,116.17891903250307,109.59902263507523,121.81813611837715,110.72612966620152,122.05137393550734,110.69153170185427,110.64871149143028
79,109.47903394483995,116.47071659799927,109.97049723323184,122.05543556648269,111.04125549156464,122.28570489464298,111.0075416839553,110.95861188782027
80,109.90247496007805,116.76805781326951,110.34852176815032,122.29709047200234,111.36280869662595,122.52431947388689,111.33006122299398,111.27489321655149
81,110.33240878232127,117.07078248690374,110.73285391246125,122.54300009769261,111.69058769421967,122.76711975333691,111.65888935412963,111.5973536427716
82,110.76856090243685,117.37873278370247,111.12325570071208,122.79306493778108,112.0243940439438,123.01400901114778,111.9938281357288,111.92579449227748
83,111.21066213540736,117.6917532270597,111.51949351589839,123.04718672145884,112.36403245143242,123.264891726194,112.33468265198819,112.26002025366016
84,111.65844860861327,118.00969069966234,111.92133807314823,123.3052684156311,112.70931076551312,123.51967358004705,112.68126101357174,112.59983857806785
85,112.11166174558373,118.33239444257318,112.32856440070246,123.56721422694714,113.06003997333691,123.77826145828733,113.03337435632987,112.94506027668699
86,112.57004824545943,118.6597160527635,112.74095181833074,123.83292960313067,113.41603419356662,124.04056345117047,113.39083683816824,113.2954993160401
87,113.03336005840482,118.9915094791605,113.15828391331947,124.1023212336318,113.77711066770867,124.30648885366853,113.75346563413346,113.65097281119674
88,113.50135435720114,119.32763101727346,113.58034851416444,124.3752970496218,114.14308974967126,124.57594816490554,114.12108092978289,114.01130101699316
89,113.97379350524471,119.66793930246176,114.00693766209785,124.65176622335164,114.51379489363067,124.84885308700758,114.49350591290478,114.37630731735317
90,114.4504450211693,120.01229530190636,114.43784758057515,124.93163916689528,114.8890526402857,125.12511652338685,114.87056676365506,114.74581821280175
91,114.93108154030367,120.36056230534541,114.87287864284448,125.21482753029882,115.26869260157855,125.4046525764796,115.25209264317584,115.11966330626056
92,115.4154807731698,120.71260591463316,115.31183533771726,125.5012441991559,115.65254744395888,125.68737654495713,115.63791568076049,115.49767528721235
93,115.90342546121994,121.06829403218028,115.75452623365499,125.79080329163033,116.04045287026575,125.97320492042917,116.02787095962867,115.87968991431939
94,116.39470333000395,121.42749684833211,116.20076394128418,126.08342015494601,116.43224760030064,126.26205538365883,116.42179650137464,116.26554599657885
95,116.88910703995224,121.79008682774042,116.65036507444711,126.37901136136462,116.82777335016273,126.55384680030782,116.81953324915034,116.65508537309591
96,117.3864341349523,122.15593869478226,117.10315020989289,126.67749470367086,117.226874810416,126.8484992162306,117.22092504964434,117.04815289155309
97,117.88648698889065,122.52492941807883,117.55894384570995,126.97878919018514,117.62939962315554,127.14593385233583,117.62581863391642,117.44459638545226
98,118.38907275032528,122.89693819416537,118.01757435859703,127.28281503932308,118.03519835803881,127.44607309903319,118.03406359714646,117.8442666502037
99,118.89400328544734,123.27184643036195,118.47887396006682,127.58949367372111,118.44412448734593,127.7488405102836,118.4455123773549,118.24701741813392
100,119.40109511948421,123.64953772689331,118.94267865167245,127.89874771394696,118.85603436013062,128.05416079727001,118.8600202331515,118.65270533248227
101,119.9101693766902,124.02989785830508,119.40882817934414,128.2105009718139,119.27078717552212,128.3619598217064,119.27744522056696,119.06118992045396
102,120.42105171906445,124.41281475422151,119.87716598691952,128.52467844331682,119.68824495523626,128.6721645888016,119.69764816902143,119.47233356539478
103,120.93357228392998,124.79817847948935,120.34753916894813,128.841206301208,120.10827251535211,128.9847032398949,120.1204926564823,119.88600147815104
104,121.44756562050172,125.18588121375001,120.8197984228473,129.16001188723055,120.53073743740873,129.2995050447795,120.54584498386228,120.30206166767563
105,121.96287062556556,125.57581723048207,121.29379800048338,129.4810237040267,120.95551003887472,129.61650039372964,120.9735741487079,120.72038491093939
106,122.47933047838474,125.96788287555358,121.7693956592492,129.80417140673754,121.3824633430416,129.93562078924762,121.40355181822645,121.14084472220466
107,122.99679257494455,126.36197654532307,122.24645261270572,130.12938579431116,121.81147304839008,130.25679883754526,121.83565230169873,121.56331732171584
108,123.51510846164086,126.75799866432648,122.72483348085267,130.45659880053532,122.24241749747677,130.57996823977533,122.26975252232327,121.9876816038598
109,124.03413376851258,127.15585166258595,123.20440624009017,130.78574348481027,122.67517764538655,130.9050637830272,122.7057319885364,122.41381910484695
110,124.55372814211331,127.55543995257517,123.68504217293057,131.1167540226775,123.10963702779527,131.2320213311011,123.14347276485111,122.84161396996181
111,125.0737551781126,127.95666990587459,124.16661581751677,131.44956569611918,123.54568172868429,131.56077781507474,123.5828594422564,123.27095292042996
112,125.59408235371191,128.35944982954877,124.64900491700092,131.7841148836431,123.98320034774805,131.89127122367617,124.0237791082174,123.7017252199464
113,126.11458095995647,128.76368994227622,125.1320903688343,132.12033905016742,124.42208396753341,132.22344059347535,124.46612131631511,124.13382264090848
114,126.63512603401921,129.16930235026226,125.6157561740172,132.45817673671928,124.86222612034813,132.55722599890805,124.90977805556358,124.56713943039475
