,Sterman soil,SE_SLP trf_linear  soil,SE_SLP trf_linear (constrained) soil,SE_SLP trf_huber (constrained) soil,SE_SLP dogbox_linear (constrained) soil
-1,0.0,0.0,0.0,0.0,0.0
0,105.5,105.5,105.5,105.5,105.5
1,104.61921491766314,104.8789298068762,104.69604192740611,104.76949465708203,104.6960421357638
2,103.75957172228482,104.27047094799924,103.90982553696388,104.05432296531941,103.90982594260268
3,102.92312937672848,103.67619330954767,103.14332711323013,103.35624431730322,103.14332765046281
4,102.11220355792449,103.09788969359383,102.39880502934352,102.67726881106722,102.39880558975598
5,101.32935917660114,102.53757562563227,101.67879872311269,102.01965732256014,101.67879917115984
6,100.57738585368578,101.99747474342414,100.98610913283363,101.38590555095097,100.98610932436493
7,99.85925146050134,101.47998491417948,100.32375440658821,100.77870656531809,100.32375420871719
8,99.17802930919322,100.98762052753293,99.69489510266936,100.20088665315807,99.69489441262805
9,98.53679612717954,100.52292779052324,99.1027248887428,99.65531073104775,99.10272364883888
10,97.93850086698008,100.0883726496087,98.55032635989198,99.1447566265314,98.55032456568138
11,97.38580877594347,99.6862052887816,98.04049716162346,98.67176233125856,98.04049486115116
12,96.88093064792179,99.31831063975609,97.57555865122075,98.23845650186186,97.57555593472495
13,96.42545289135936,98.98605998135548,97.15716655518152,97.84638896252132,97.1571635367611
14,96.02018849321081,98.69018287856436,96.78614838956932,97.49638293544311,96.78614518441768
15,95.66507038193711,98.43067957409625,96.46239343270882,97.18843207286508,96.46239013486986
16,95.35910569335948,98.20679017999623,96.18481609254353,96.92166148377076,96.18481275813288
17,95.10040172687651,98.0170286582308,95.95140266297335,96.69436271843604,95.95139930229165
18,94.88626325735848,97.85927841545076,95.75933704830764,96.5040999868256,95.75933362774998
19,94.71334908260381,97.7309354719013,95.6051870740395,96.34787223818137,95.60518352610974
20,94.57786647524883,97.62907779299398,95.48512361267892,96.22230685948477,95.48511985066887
21,94.47577800233046,97.55063739809815,95.39514236107023,96.1238580208872,95.39513829452594
22,94.40299663673045,97.49255516602648,95.33126251286006,96.04898615010704,95.33125806069282
23,94.35555100750743,97.45190500771311,95.28968537333152,95.99430264448652,95.28968047279804
24,94.32971069259227,97.42598176983797,95.26690591656524,95.95667283671877,95.26690052772997
25,94.32206926653551,97.41235377842793,95.25977869828971,95.93327793043471,95.25977280458869
26,94.32958875396379,97.40888523796949,95.26554502826905,95.92164176627114,95.2655386342923
27,94.34961260301891,97.41373566651802,95.28183076700856,95.91963068720358,95.28182389468847
28,94.37985550131901,97.42534368847262,95.30662422970288,95.92543501834433,95.30661691390505
29,94.41837795617796,97.44240154453968,95.33824239381168,95.93753959780449,95.33823467803231
30,94.4635522689264,97.46382525045995,95.37529173842877,95.9546891447628,95.37528367101514
31,94.51402493011129,97.48872387827758,95.4166281522099,95.97585254930148,95.41661978329196
32,94.56867892190344,97.51637017989204,95.4613187282226,96.00018869795136,95.46131010738704
33,94.62659812426385,97.54617380628777,95.50860702235943,96.0270153128659,95.5085981970051
34,94.687035039678,97.57765769216974,95.55788247714871,96.05578147786332,95.55787349141805
35,94.7493823598533,97.61043772844664,95.60865414316152,96.08604399789816,95.60864503732984
36,94.81314844557797,97.64420557654401,95.66052849047442,96.11744742246276,95.66051930068464
37,94.8779365191843,97.67871433562084,95.71319092368795,96.14970739528339,95.71318168193325
38,94.9434272244415,97.71376671347596,95.76639054041202,96.18259692184739,95.7663812746868
39,95.00936414839222,97.74920534253131,95.81992766411791,96.21593513534764,95.81991839867491
40,95.07554189182801,97.78490490176375,95.8736437096366,96.24957816461028,95.87363446530401
41,95.14179629749148,97.8207657393665,95.92741298490239,96.28341174745009,95.92740377942711
42,95.20799648286676,97.85670873024169,95.98113608434424,96.31734527906963,95.98112693273835
43,95.27403836817861,97.89267114187162,96.03473458093461,96.3513070313825,96.03472549580968
44,95.33983943434563,97.92860331883827,96.08814677174811,96.38524032216087,96.08813776362801
45,95.4053344870109,97.96446602894099,96.14132427433539,96.4191004511504,96.14131535194231
46,95.47047223990073,98.00022834209098,96.19422930781172,96.45285225329606,96.19422047832329
47,95.53521256311221,98.03586593704917,96.246832523475,96.486468147118,96.24682379275221
48,95.59952426954598,98.07135975098744,96.29911127550511,96.51992657950892,96.29910264829222
49,95.66338333592782,98.1066949032733,96.35104824349543,96.55321078736162,96.35103972359369
50,95.72677147418399,98.14185983830554,96.40263033588565,96.58630781207022,96.40262192630313
51,95.789674984874,98.1768456431399,96.45384781742673,96.61920771564128,96.45383952050669
52,95.85208383744894,98.21164550446761,96.50469361517175,96.65190295740688,96.5046854327021
53,95.91399093275993,98.24625427661921,96.55516276663506,96.68438789858604,96.55515469994121
54,95.97539151189825,98.28066813797679,96.60525198110689,96.71665840856674,96.60524403113007
55,96.036282682463,98.3148843177551,96.65495929099313,96.74871155208574,96.65495145835646
56,96.09666303901848,98.34890087877406,96.70428377475493,96.78054534072453,96.70427605981871
57,96.15653235907583,98.38271654477062,96.753225336778,96.81215853552486,96.75321773968608
58,96.2158913596145,98.4163305631328,96.80178453249864,96.8435504902262,96.80177705321698
59,96.27474150212124,98.44974259580029,96.84996242950008,96.87472102677798,96.84995506784895
60,96.33308483650441,98.4829526325588,96.897760497195,96.90567033649114,96.89775325287567
61,96.39092387615317,98.51596092213731,96.9451805192233,96.93639890155563,96.94517339184014
62,96.44826149794513,98.5487679174564,96.9922245238983,96.96690743273354,96.9922175129771
63,96.50510086223704,98.58137423212493,97.03889472899243,96.99719681989897,97.03888783399553
