,Sterman soil,NE_MBB trf_linear  soil,NE_MBB trf_linear (constrained) soil,NE_MBB trf_soft_l1  soil,NE_MBB trf_soft_l1 (constrained) soil,NE_MBB trf_huber  soil,NE_MBB trf_huber (constrained) soil,NE_MBB trf_cauchy  soil
23,110.25154225861773,118.35496958188091,111.45631055186175,123.79617809061975,114.21708397188878,124.04072668046923,114.17703432562217,126.36903072403938
24,109.78767405622544,118.09398920524326,111.02771827603533,123.68021760613408,113.83919673725065,123.9309281865804,113.79908417339506,126.31955428592083
25,109.3502310011942,117.84859278642367,110.62377706607774,123.57336352144243,113.4813016130931,123.82992223937991,113.44121424380891,126.275904584008
26,108.93875841024449,117.61851930177876,110.24401109561093,123.47548323070299,113.14304700845418,123.73758230408852,113.10306707334382,126.23800535050964
27,108.55280396197224,117.40351059283921,109.88795046439239,123.38644544397046,112.82408552759794,123.65378303589965,112.78428958673473,126.20578099641446
28,108.19191778281628,117.20331137183109,109.55513118590422,123.30612019232392,112.52407394451127,123.57840028865282,112.48453308018372,126.1791566153672
29,107.85565253916825,117.01766922481414,109.24509517219887,123.23437883161988,112.24267317741919,123.51131112199919,112.2034532027197,126.15805798685393
30,107.54356353372211,116.84633461263186,108.95739021621043,123.17109404499605,111.97954826326266,123.45239380719165,111.94070993587,126.14241157875306
31,107.25520880450058,116.68906086984951,108.69156997171922,123.11613984423734,111.73436833209313,123.40152783161706,111.69596757179242,126.13214454930288
32,106.99014922527334,116.5456042018387,108.4471939311396,123.06939157010379,111.50680658134712,123.35859390217675,111.46889469000126,126.12718474853126
33,106.74794860630824,116.41572368015323,108.22382740128481,123.03072589170999,111.2965402499711,123.3234739476101,111.2591641328089,126.1274607191889
34,106.52817379458284,116.29918123632757,108.02104147724945,123.00002080503658,111.10325059237333,123.29605111984684,111.06645297959307,126.13290169722352
35,106.33039477273749,116.19574165421771,107.83841301453774,122.97715563064662,110.92662285218431,123.27620979446584,110.89044251999033,126.14343761182934
36,106.15418475617933,116.10517256099497,107.67552459955586,122.96201101067274,110.76634623581218,123.2638355703306,110.73081822610803,126.15899908510288
37,105.9991202878531,116.02724441689317,107.53196451857704,122.95446890513522,110.6221138857828,123.25881526846557,110.5872697238388,126.17951743133361
38,105.86478133028429,115.96173050380257,107.40732672527993,122.95441258764531,110.49362285385787,123.26103693023188,110.45949076335552,126.20492465595571
39,105.7507513545756,115.90840691279617,107.30121080695373,122.96172664054392,110.38057407392681,123.270389814856,110.34717918885801,126.23515345418497
40,105.65661742610129,115.86705253066783,107.21322194945704,122.97629694952114,110.28267233467055,123.28676439636025,110.25003690763776,126.27013720936296
41,105.58197028669794,115.83744902555564,107.14297090101144,122.99801069775857,110.19962625199764,123.31005235994047,110.16776985852165,126.30980999102925
42,105.52640443319594,115.81938083171877,107.09007393490576,123.02675635963287,110.13114824125444,123.34014659783232,110.10008797975155,126.35410655274039
43,105.48951819217527,115.81263513353133,107.0541528111823,123.06242369401606,110.07695448921272,123.3769412047045,110.04670517635236,126.4029623296533
44,105.47091379086231,115.81700184875216,107.03483473737204,123.10490373720519,110.0367649258394,123.4203314726144,110.0073392870376,126.4563134358897
45,105.47019742411288,115.83227361112577,107.03175232834181,123.15408879551151,110.01030319585401,123.47021388555893,109.98171205069823,126.51409666169634
46,105.48697931745109,115.8582457523658,107.04454356531333,123.2098724375373,109.99729663008047,123.526486113651,109.96954907251742,126.57624947041575
47,105.52087378615474,115.89471628356908,107.07285175411023,123.27214948616606,109.99747621660059,123.58904700694978,109.97057978975093,126.64270999528026
48,105.57149929039534,115.94148587610538,107.11632548268678,123.34081601029015,110.01057657171702,123.65779658897124,109.98453743721055,126.71341703604199
49,105.63847848645659,115.99835784202493,107.17461857798891,123.41576931629835,110.03633591073458,123.73263604990312,110.01115901248565,126.78831005545021
