,usda_soil,usda_biomass
0,105.5,4.1
5,96.0,15.0
10,93.6,35.7
15,93.7,71.1
20,94.2,106.0
25,94.7,127.9
30,94.8,137.8
35,94.8,139.1
40,94.8,140.2
45,94.8,141.1
50,94.9,142.2
55,95.1,142.2
60,95.3,142.2
65,95.4,142.2
70,95.6,142.2
75,95.8,142.2
80,95.9,142.2
85,96.2,142.2
90,96.3,142.2
