,soil_low,soil_high,bio_low,bio_high,soil_diff,bio_diff,total diff
-1,-4.334806466744688,4.334806466744688,-4.334806466744688,4.334806466744688,8.669612933489375,8.669612933489375,17.33922586697875
0,103.66519353325532,112.33480646674468,-2.2348064667446876,6.434806466744687,8.669612933489361,8.669612933489375,17.339225866978737
1,102.06180455351858,110.98954763056044,14.488758801044249,23.158371734533624,8.927743077041853,8.669612933489375,17.59735601053123
2,100.50937838284352,110.10217442701834,17.42656178067119,26.198919506881772,9.592796044174818,8.772357726210583,18.3651537703854
3,99.0066525750492,109.2384020663235,20.320345850348403,29.22228477804252,10.2317494912743,8.901938927694118,19.13368841896842
4,97.55245727749775,108.39778878299055,23.176079525139617,32.207410687161435,10.845331505492794,9.031331162021818,19.876662667514612
5,96.14569170461917,107.57991116552513,25.99809570224132,35.156286094922166,11.434219460905965,9.158190392680847,20.592409853586812
6,94.7853092553037,106.78436136407232,28.789641665087004,38.07056560791992,11.999052108768623,9.280923942832914,21.279976051601537
7,93.47030750067168,106.01074505371406,31.553210735610307,40.951654131492695,12.54043755304238,9.398443395882389,21.93888094892477
8,92.19972112537175,105.25867989009957,34.290753808326265,43.800764442980416,13.05895876472782,9.51001063465415,22.56896939938197
9,90.97261676351252,104.52779430188694,37.00382039262922,46.61895791388376,13.555177538374423,9.615137521254539,23.17031505962896
10,89.78808910521704,103.81772652270782,39.693656100404034,49.40717421990528,14.029637417490775,9.713518119501245,23.74315553699202
11,88.64525788663644,103.12812379893414,42.3612720663583,52.166253582516674,14.482865912297697,9.80498151615837,24.287847428456068
12,87.5432655128873,102.45864172990848,45.00749563625779,54.89695378577253,14.915376217021176,9.889458149514745,24.80483436653592
13,86.48127514601103,101.80894371022382,47.63300817683861,57.59996344049128,15.327668564212786,9.966955263652672,25.294623827865458
14,85.45846914204051,101.17870045212845,50.238373803540604,60.27591249141814,15.72023131008794,10.037538687877536,25.757769997965475
15,84.47404775508886,100.56758957188924,52.82406156011809,62.925380658576024,16.093541816800382,10.101319098457935,26.194860915258317
16,83.52722804903019,99.97529522794834,55.39046278485054,65.5489043037548,16.44806717891815,10.158441518904255,26.606508697822406
17,82.61724297290502,99.40150780156262,57.937904877464774,68.14698207792898,16.784264828657598,10.209077200464208,26.993342029121806
18,81.74334056711245,98.84592361268456,60.46666233334384,70.72007961207986,17.102583045572104,10.253417278736016,27.35600032430812
19,80.90478327527532,98.30824466537825,62.97696567446658,73.26863344816566,17.403461390102933,10.291667773699082,27.695129163802015
20,80.10084734236969,97.7881784182155,65.46900874152456,75.79305435983756,17.687331075845805,10.324045618312994,28.0113766941588
21,79.33082228393306,97.28543757597663,67.9429546948191,78.2937301781324,17.95461529204357,10.350775483313313,28.305390775356884
22,78.59401041433574,96.79973989965947,70.39894098746785,80.77102821194961,18.20572948532373,10.37208722448176,28.57781670980549
23,77.88972642451222,96.33080803233177,72.83708351307604,83.22529733405976,18.441081607819555,10.388213820983722,28.829295428803277
24,77.21729700140673,95.87836933878121,75.25748008462429,85.65686978892784,18.661072337374478,10.399389704303545,29.060462041678022
25,76.5760604828308,95.44215575725374,77.66021336733161,88.09112229683085,18.866095274422946,10.430908929499239,29.297004203922185
26,75.96536654256516,95.02190366183918,80.0453533625099,90.51699499700837,19.05653711927401,10.471641634498468,29.52817875377248
27,75.38457590144034,94.61735373428425,82.41295951973592,92.92094567615808,19.232777832843908,10.507986156422163,29.74076398926607
28,74.83306006084734,94.22825084419146,84.76308253945709,95.30313665849903,19.39519078334412,10.54005411904194,29.93524490238606
29,74.31020105571153,93.85434393671063,87.09576591629545,97.66372996308674,19.544142880999104,10.567964046791289,30.112106927790393
30,73.815391224434,93.49538592695363,89.4110472640034,100.00288726733663,19.679994702519636,10.591840003333232,30.271834705852868
31,73.34803299368829,93.15113360046428,91.70895945564988,102.32076987320359,19.803100606775985,10.611810417553713,30.414911024329697
32,72.90753867627805,92.8213475191627,93.9895316067371,104.61753867575435,19.91380884288465,10.628007069017244,30.541815911901892
33,72.4933302805234,92.50579193225619,96.25278992422344,106.89335413390404,20.012461651732792,10.640564209680605,30.653025861413397
34,72.10483932986108,92.20423469166991,98.49875844061467,109.14837624311764,20.09939536180883,10.649617802502974,30.749013164311805
35,71.74150669152675,91.91644717160472,100.72745964918161,111.38276450990219,20.174940480077964,10.655304860720577,30.83024534079854
36,71.40278241334059,91.6422041918735,102.93891505382646,113.59667792793698,20.239421778532915,10.657762874110517,30.897184652643432
37,71.08812556774757,91.38128394470768,105.13314564503452,115.79027495570656,20.293158376960108,10.657129310672047,30.950287687632155
38,70.79700410237297,91.13346792475842,107.31017231162559,117.96371349551725,20.336463822385454,10.653541183891662,30.990005006277116
39,70.52889469644825,90.89854086204645,109.4700161965892,120.11715087379103,20.369646165598198,10.647134677201834,31.01678084280003
40,70.28328262254158,90.6762906576404,111.6126990040942,122.25074382254222,20.393008035098816,10.638044818448023,31.03105285354684
41,70.05966161309712,90.46650832186548,113.73824326376504,124.36464846195202,20.406846708768356,10.626405198186973,31.03325190695533
42,69.85753373134528,90.26898791486386,115.84667255747584,126.45902028396573,20.411454183518572,10.612347726489887,31.02380191000846
43,69.67640924619897,90.0835264893458,117.93801171320376,128.53401413684333,20.40711724314683,10.596002423639561,31.00311966678639
44,69.51580651079331,89.90992403538485,120.01228696988201,130.58978421060223,20.394117524591536,10.57749724072022,30.971614765311756
45,69.37525184436683,89.74798342712499,122.06952611667964,132.62648402329646,20.372731582758163,10.556957906616816,30.92968948937498
