,Sterman biomass,SE_SLP trf_linear  biomass,SE_SLP trf_linear (constrained) biomass,SE_SLP trf_huber (constrained) biomass,SE_SLP dogbox_linear (constrained) biomass
-1,0.0,0.0,0.0,0.0,0.0
0,4.1,4.1,4.1,4.1,4.1
1,9.205634080646481,9.03350821835157,9.045139508341126,9.032248566061778,9.045138695126399
2,11.66591515816393,11.33280209100371,11.357184382648724,11.327539171586029,11.357173423183028
3,14.522097588418225,14.047318430404465,14.08553559231008,14.0348043036704,14.085507138618974
4,17.816541601654258,17.228683596412374,17.28173433963718,17.205269671767915,17.281683684703168
5,21.58809737445432,20.92560240396899,20.994339068419897,20.887433515358634,20.994264671567343
6,25.868623997606747,25.179583125503395,25.264638367331578,25.122894642424292,25.264542109312586
7,30.678784610114214,30.019630983616945,30.121333512894367,29.941146692838863,30.12122054498908
8,36.02335477460187,35.45620832823306,35.57449106133725,35.35361311047767,35.57436915489817
9,41.88649862693181,41.475075115818484,41.609382377627554,41.347506027996204,41.60926076918206
10,48.227700100372836,48.03196388854935,48.181168522944496,47.8804328225458,48.181056378648755
11,54.979219246906105,55.049306116357016,55.211651828938756,54.876948250630214,55.21155659166664
12,62.045985029795446,62.41626832100253,62.58935571486316,62.22831683722021,62.58928169666195
13,69.30864466130458,69.99304003240354,70.17387429917426,69.79646876471973,70.17382188460924
14,76.63002093125239,77.61959030119306,77.80470217057903,77.42243982628017,77.80466787021953
15,83.86453582734778,85.12808890927046,85.31372758293199,84.93857885024693,85.31370494253045
16,90.86941337942459,92.35716912398189,92.5395488548962,92.18276799476307,92.53952996639198
17,97.51592878766365,99.16557805041562,99.34114419885918,99.01222109082045,99.34112138301903
18,103.69885132877978,105.44281129278238,105.60848357015007,105.31441482031279,105.60845078413674
19,109.34261684375151,111.11508517432021,111.26843946896012,111.0134191681172,111.26839313394531
20,114.40353947457275,116.14618141136654,116.2855461973526,116.07106626525959,116.28548536454196
21,118.86825702464583,120.53386197054266,120.65832525639338,120.48358641781162,120.65825123174913
22,122.7493074828983,124.30331722781015,124.41265808479841,124.2751503777165,124.4125737427217
23,126.07907772379693,127.49932781401534,127.59389748403541,127.49001479774495,127.59380650651809
24,128.90333765179878,130.17857758478976,130.25915760063478,130.18474732018973,130.2590638147853
25,131.27528976918322,132.4030697978479,132.47073036378882,132.42152525941708,132.47063726466203
26,133.25068349922407,134.23508747240874,134.29106189721904,134.2629809177608,134.29097237001218
27,134.88419395241888,135.73373891920582,135.7793221853947,135.7686527043043,135.77923839624148
28,136.22701362958747,136.95288601641366,136.98935942650704,136.9928458232179,136.98928283318673
29,137.32546497084167,137.9401486461862,137.96872851213976,137.983594407272,137.96865994647231
30,138.22039097761422,138.73667016426398,138.75847650130112,138.7824047872497,138.75841628460242
31,138.94708876430713,139.3773717704691,139.39341238037866,139.42450177895907,139.3933604453893
32,139.5355881632127,139.89148545335092,139.9026510645501,139.93936238737922,139.902607068028
33,140.01112413465697,140.30321627451679,140.3102830975053,140.35138368673415,140.3102465157842
34,140.39469600420927,140.63243601447414,140.6360728766142,140.6805841646904,140.63604308180356
35,140.70364318751498,140.89534907357373,140.89612705270648,140.9432777317371,140.89610337035128
36,140.95219479544497,141.10509887555065,141.10350198550034,141.15268770502615,141.1034837360803
37,141.1519701166411,141.2723010676346,141.26873704264543,141.3194866217677,141.2687235698443
38,141.3124200237406,141.40550096460632,141.4003115548029,141.45225919520496,141.4003022434489
39,141.4412075152447,141.5115590486146,141.5050294966139,141.55789225995386,141.50502378287257
40,141.54453034195083,141.59597154800267,141.58833909182374,141.64189884717678,141.58833646779462
41,141.62739111476188,141.66313435956485,141.65459572062096,141.70868480115533,141.65459573505026
42,141.6938212834568,141.71655866003488,141.7072765449379,141.76176643105939,141.7072788013619
43,141.74706549370723,141.759046005277,141.7491546900446,141.80394713078988,141.74915884334212
44,141.78973245902446,141.79282987314488,141.78243995820444,141.83746003791327,141.78244571026642
45,141.82391787323175,141.81968966819858,141.8088920994859,141.86408284463124,141.80889919449865
