,Sterman biomass,NE_MBB trf_linear  biomass,NE_MBB trf_linear (constrained) biomass,NE_MBB trf_soft_l1  biomass,NE_MBB trf_soft_l1 (constrained) biomass,NE_MBB trf_huber  biomass,NE_MBB trf_huber (constrained) biomass,NE_MBB trf_cauchy  biomass
72,126.58423063083711,127.11935253465523,126.95394530433701,126.86625936107141,126.52285741421589,126.91687125156835,126.4659793365906,126.06477613723827
73,127.60679168373521,128.10747073799527,127.93743346505615,127.86642959686282,127.52884503718526,127.91699503798111,127.47064913592331,127.07583198725587
74,128.61431545918148,129.08228852838857,128.9071318466674,128.85367959866494,128.5216526747434,128.90411053400604,128.4623581055545,128.0742345380974
75,129.60694756810162,130.04396847282774,129.8632019426026,129.82816506425718,129.5014269192568,129.87837392378464,129.44125613548923,129.06012966248207
76,130.58483516259437,130.99267168867564,130.80580433396156,130.7900401813085,130.4683134692606,130.8399399433494,130.407491895858,130.03366193698724
77,131.54812678701495,131.92855783652405,131.73509866091268,131.73945762820583,131.42245711245016,131.78896187781038,131.36121282960585,130.9949746398642
78,132.49697223438807,132.8517851140937,132.65124359553116,132.67656857558708,132.36400170950384,132.725591559398,132.30256514598852,131.94420974952803
79,133.43152240805253,133.76251025112447,133.55439681603337,133.60152268853946,133.29309017872026,133.64997936631588,133.2316938148406,132.88150794368676
80,134.3519291884369,134.66088850520782,134.44471498236678,134.51446812942405,134.20986448145297,134.56227422235955,134.14874256158313,133.80700859907816
81,135.25834530486213,135.5470736585153,135.32235371311558,135.41555156129087,135.11446560832565,135.46262359725978,135.05385386293835,134.72084979178265
82,136.1509242122655,136.4212180153796,136.18746756368367,136.3049181518503,136.0070335662105,136.35117350771102,135.94716894332223,135.62316829808353
83,137.02981997273815,137.28347240068567,137.0402100057171,137.18271157796806,136.88770736595328,137.22806851904744,136.8288277718847,136.5140995958461
84,137.89518714176722,138.13398615903236,137.88073340772937,138.04907403065326,137.75662501082695,138.09345174753093,137.69896906017055,137.39377786638934
85,138.7471806590721,138.97290715462648,138.70918901689348,138.90414622051034,138.61392348569788,138.94746486321782,138.5577302603737,138.26233599682487
86,139.58595574392436,139.80038177187254,139.52572694196613,139.74806738362716,139.45973874688673,139.79024809337145,139.4052475641597,139.11990558283873
87,140.4116677948407,140.61655491662358,140.3304961373093,140.58097528787306,140.29420571270745,140.62194022639093,140.24165590203148,139.96661693189296
88,141.22447229353645,141.42157001805984,141.12364438797619,141.40300623958174,141.11745825466738,141.44267861622657,141.06708894321486,140.80259906682517
89,142.02452471302988,142.21556903116337,141.90531829582872,142.21429509059564,141.92962918931175,142.25259918725462,141.88167909604107,141.62797972982492
90,142.81198042978585,142.99869243975823,142.67566326665477,143.01497524564905,142.73085027069578,143.05183643958497,142.6855575088047,142.44288538676685
91,143.58699463978883,143.77107926008713,143.43482349825373,143.8051786700688,143.521252183468,143.8405234547772,143.47885407107574,143.2474412318815
92,144.3497222784363,144.53286704489696,144.18294196946033,144.58503589777197,144.3009645365483,144.61879190194077,144.26169741544584,144.04177119274544
93,145.10031794414365,145.2841918880062,144.92016043007666,145.35467603954146,145.07011585738468,145.38677204419676,145.03421491968908,144.82599793557347
94,145.83893582555353,146.0251884293293,145.6466193916834,146.1142267915612,145.8288335867725,146.14459274548028,145.79653270931905,145.60024287079565
95,146.56572963224363,146.75598986033285,146.36245811930192,146.86381444419314,146.57724407422057,146.89238147766198,146.54877566052406,146.36462615890397
96,147.28085252882772,147.47672792990116,147.06781462387926,147.60356389097998,147.3154725738482,147.63026432796994,147.29106740346273,147.11926671655286
97,147.98445707234723,148.18753295058832,147.76282565556915,148.3335986378571,148.04364324079802,148.35836600669293,148.02353032590432,147.86428222289874
98,148.67669515285084,148.88853380523537,148.44762669778234,149.05404081255958,148.76187912814936,149.07680985514742,148.74628557719686,148.59978912616552
