,Sterman biomass,NE_OH trf_linear  biomass,NE_OH trf_linear (constrained) biomass,NE_OH trf_soft_l1 (constrained) biomass,NE_OH trf_huber  biomass,NE_OH trf_huber (constrained) biomass
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,2.1,2.1,2.1,2.1,2.1,2.1
1,18.823565267788936,18.907687274129973,18.859212725303294,18.94103974101347,18.975914137915304,18.87033190252194
2,21.761368247415874,21.952546255891768,21.85946529142909,22.005097747089042,22.069959356555845,21.87348020764259
3,24.65515231709309,24.96814887525282,24.834036620935102,25.028463018249784,25.118920189410986,24.84421509735372
4,27.510885991884305,27.95487993791452,27.78305703871468,28.013588927368705,28.125658598569945,27.783837872492715
5,30.332902168986003,30.913101754881385,30.706663596218437,30.962464335129432,31.09251146371216,30.6934300149363
6,33.12444813183169,33.843158797215104,33.60499853440139,33.876743848127184,34.02143666772661,33.57391090587305
7,35.88801720235499,36.74538093939742,36.478208190325695,36.757832371699955,36.9141078777282,36.426076350769854
8,38.625560275070946,39.62008581234765,39.32644218892006,39.60694268318768,39.77197910879374,39.250625438058215
9,41.33862685937391,42.46758056665062,42.149852826735476,42.42513615409103,42.596330437894046,42.04817992744736
10,44.02846256714873,45.288163229388225,44.948594589927204,45.21335246011255,45.388301406311136,44.81929864966539
11,46.69607853310299,48.08212377169722,47.72282376904307,47.97243182272394,48.14891607258233,47.5644884577851
12,49.342302103002474,50.84974496473242,50.47269814548654,50.7031320259798,50.87910222224364,50.28421272469617
13,51.9678146435833,53.59130307722134,53.19837673225209,53.406141680698546,53.57970637792272,52.97889805084506
14,54.57318027028529,56.307068452031096,55.90001955656265,56.082090731625414,56.251505721153364,55.64893963858987
15,57.15886802686277,58.9973059887041,58.577787475414425,58.7315588987833,58.89521769756489,58.294705654607455
16,59.72526925159523,61.66227555178465,61.23184201735767,61.35508254396206,61.51150785371775,60.916540811715016
17,62.27271134420946,64.30223231977945,63.862345245477165,63.953160318136234,64.10099630311899,63.51476933984078
18,64.80146880008853,66.9174270860475,66.46945963771151,66.52625785228712,66.66426311488397,66.08969747279336
19,67.31177214121126,69.50810652033987,69.05334798150902,69.07481168837292,69.20185284519202,68.6416155467741
20,69.80381520826924,72.07451339781,71.61417328045641,71.59923260004481,71.7142783790811,71.17079978431292
21,72.27776116156377,74.61688680089222,74.15209867099787,74.09990841833967,74.20202421176543,73.67751382091262
22,74.73374745421255,77.13546229836591,76.66728734772926,76.57720645215687,76.66554927026759,76.16201001944202
23,77.17188997982073,79.63047210509254,79.15990249603662,79.03147557426702,79.10528935485702,78.62453060805461
24,79.59228655136899,82.10214522526736,81.6301072310701,81.4630480291351,81.52165926361205,81.06530867031944
25,81.9950198340763,84.5507075815212,84.0780645422194,83.87224100773965,83.91505465099826,83.48456901076511
