,usda_soil,usda_biomass
0,143.3,4.1
5,133.2,12.8
10,130.3,31.1
15,129.7,63.9
20,129.9,94.9
25,130.2,117.2
30,130.1,126.5
35,130.0,127.7
40,130.0,128.7
45,130.0,129.7
50,130.1,130.7
55,130.3,130.7
60,130.5,130.7
65,130.6,130.7
70,130.8,130.7
75,131.0,130.7
80,131.1,130.7
85,131.3,130.7
90,131.5,130.7
