,usda_soil,usda_biomass
0,74.5,4.1
5,64.6,14.9
10,62.2,38.1
15,61.9,72.5
20,62.2,102.9
25,62.4,122.0
30,62.4,130.5
35,62.3,131.6
40,62.4,132.5
45,62.4,133.5
50,62.5,134.4
55,62.7,134.4
60,62.9,134.4
65,63.0,134.4
70,63.2,134.4
75,63.4,134.4
80,63.5,134.4
85,63.7,134.4
90,63.9,134.4
