,Sterman biomass,SC_SLP trf_linear  biomass,SC_SLP trf_linear (constrained) biomass,SC_SLP trf_huber (constrained) biomass,SC_SLP dogbox_linear (constrained) biomass,SC_SLP dogbox_huber (constrained) biomass
21,113.13162081225799,115.04335771409706,115.132185723764,114.96788074703656,115.13128036374162,114.9670400743806
22,116.55844194444501,118.26825195816173,118.34609275150511,118.20601197298605,118.34524024092218,118.20521507555051
23,119.50641944103337,121.01416307029369,121.0814512541887,120.96400166057064,121.08065205158533,120.96324979350733
24,122.0180633898801,123.33165893930513,123.38905838838396,123.29227813264555,123.38831471564251,123.29157428663763
25,124.14021002779198,125.27294757517828,125.3212655507942,125.24301651037324,125.3205799332665,125.24236395632754
26,125.92057023619512,126.88884363334871,126.92895926720877,126.86707405305803,126.92833357831047,126.866475383989
27,127.4052447279593,128.22678801927736,128.2595969179058,128.21198241098213,128.25903188256913,128.21143903875088
28,128.63711147343034,129.3297267067039,129.35610097657613,129.32080468931701,129.35559602478534,129.32031669046196
29,129.65492394658375,130.2356333830624,130.2563950070843,130.2316421305008,130.2559483575033,130.23120832321828
30,130.49294260530053,130.97747799509563,130.99338295208148,130.97759181296058,130.99299182239392,130.97720996289954
31,131.18093648458927,131.58347866818562,131.5952091874919,131.58699181445252,131.59487005482458,131.58665889296967
32,131.74442054367412,132.07751395990647,132.08567659831857,132.08382974514512,132.08538545965072,132.08354218972593
33,132.20502656446362,132.47960840750974,132.48473605081503,132.48822668666284,132.4844886549041,132.48798063461172
34,132.58093488397628,132.80643368171013,132.8089900018331,132.81693811585356,132.8087820397348,132.81672959784012
35,132.88731845178955,133.0717898368956,133.07217512054487,133.08383575936523,133.07200237186322,133.08366084950353
36,133.1367691327361,133.2870469315276,133.28560451515833,133.30035027121133,133.28546295296934,133.30020519623199
37,133.3396893956317,133.4615379415173,133.45856073687227,133.4758654018554,133.45844659710244,133.475746614858
38,133.5046415243819,133.6029006912555,133.59863747256884,133.61806122304864,133.59854729455245,133.617965448347
39,133.63865228731686,133.71737059426815,133.7120318530454,133.73320810579207,133.71196249782162,133.7331323612731
40,133.74747450678672,133.81002820440352,133.80379147168856,133.8264154020162,133.80374012387261,133.82635700476266
41,133.83580890376714,133.88500657807316,133.87802117731263,133.90183980873815,133.87798533542662,133.90179636875754
42,133.90749049056737,133.9456636975054,133.93805493184294,133.96285866043553,133.93803239101783,133.96282806639402
43,133.96564403405966,133.99472501687328,133.98659781947148,134.01221321738686,133.98658664953982,134.01219361737412
44,134.0128129772417,134.03440077299328,134.02584286272847,134.05212660282112,134.02584138396122,134.05211638241926
45,134.05106586446473,134.06648218019922,134.05756677142452,134.08440052183556,134.05757352953788,134.08439828114433
46,134.08208387809898,134.09242008385706,134.08320820047982,134.11049435027556,134.0832219420393,134.11049888105185
47,134.10723263104722,134.11338912381873,134.1039315665096,134.13158965794128,134.10395121547626,134.1315999216283
48,134.1276209105912,134.1303399812124,134.12067899340556,134.1486427513965,134.12070362928074,134.14865785852987
49,134.1441486559529,134.144041859151,134.1342125334467,134.1624273974411,134.13424137126165,134.16244658870647
50,134.15754608422026,134.15511698201453,134.14514844420358,134.17356952095494,134.1451808164499,134.17359215001946
51,134.1684055593225,134.1640685862398,134.15398498978055,134.1825753577533,134.1540203302747,134.18260087588757
52,134.17720752485724,134.17130361309788,134.16112497269575,134.18985427941783,134.16116280230207,134.1898822218542
53,134.18434158994597,134.17715109490376,134.16689398398609,134.1957372869603,134.16693389808108,134.19576726088815
54,134.19012366318918,134.18187704454002,134.17155517793668,134.20049198768868,134.1715968354732,134.20052366176168
55,134.19480986826153,134.1856965084584,134.1753212285053,134.20433471914106,134.1753643425258,134.20436781435922
56,134.19860784099143,134.18878332037346,134.17836400194207,134.207440360345,134.17840833138828,134.2074746421707
57,134.20168589758492,134.19127799221823,134.18082237981454,134.2099502694642,134.18086772248634,134.20998554103494
58,134.20418047314595,134.1932940967576,134.18280858479835,134.2119787042652,134.18285477132278,134.21201480057312
59,134.20620215550005,134.19492342929775,134.18441329492566,134.21361801450445,134.1844601836083,134.21365479742155
60,134.2078405787167,134.19624018145984,134.18570977776974,134.21494284055623,134.18575725021222,134.2149801945953
61,134.20916839125928,134.19730431573086,134.1867572320125,134.21601350809547,134.18680518939192,134.21605133680788
62,134.21024447337692,134.1981642935882,134.18760348811853,134.21687877252546,134.18765184803635,134.21691699544738
