,usda_soil,usda_biomass
0,126.6,4.2
5,110.7,10.4
15,99.4,30.3
25,97.6,51.5
35,99.3,70.5
45,102.1,87.2
55,105.1,101.5
65,108.3,115.3
75,111.1,125.9
85,113.6,135.4
95,115.9,143.9
105,118.0,151.4
115,119.9,157.9
125,121.6,163.5
