,Sterman soil,SE_LSP trf_linear  soil,SE_LSP trf_linear (constrained) soil,SE_LSP trf_soft_l1  soil,SE_LSP trf_huber (constrained) soil
-1,0.0,0.0,0.0,0.0,0.0
0,143.3,143.3,143.3,143.3,143.3
1,142.3060766838183,142.54675603876112,142.37203560357744,142.8022092258544,142.43688672995043
2,141.33305932615744,141.807306975737,141.46230902565262,142.31254895395037,141.58997139649617
3,140.38318183411087,141.08352325703376,140.57309608683377,141.8322727826943,140.76132462185961
4,139.4589768868446,140.37756182046027,139.70702112720429,141.3628275601797,139.95333721826586
5,138.56327542855325,139.69186954216806,138.86706026711937,140.9058567806073,139.16872476583353
6,137.69918868780576,139.02916845518317,138.0565221613301,140.46319204281727,138.41051203477184
7,136.87006695202095,138.39241633074636,137.27899841563783,140.0368282443611,137.68199003398973
8,136.0794294976847,137.7847366376052,136.53827638673346,139.6288784102462,136.98663887020916
9,135.33086135591344,137.20931376775252,135.83820942393766,139.24150523812153,136.3280116109395
10,134.62787538262265,136.66925315673922,135.1825442448873,138.87682887348114,135.70957844924595
11,133.97374262383434,136.16741160161538,134.57471214234042,138.53681417814366,135.1345367804161
12,133.37130002865882,135.70621012059726,134.01759938336122,138.22314547040895,134.6056007251036
13,132.82275134038176,135.2874487105907,133.51332075367606,137.93710148681103,134.1247916392247
14,132.32948295298027,134.91214723793107,133.06302611839206,137.6794467410615,133.69325687705063
15,131.89191963746342,134.58043720667277,132.66677036238664,137.4503560117949,133.3111449548972
16,131.50944344161388,134.29152387769145,132.32347042554713,137.24938537405492,132.97755961053082
17,131.18039189212678,134.04372752157118,132.03095984689105,137.07549616780358,132.69060335535806
18,130.902139782235,133.83459892805388,131.78613434485945,136.92712915533693,132.44750565494115
19,130.67125504983562,133.66109149042325,131.58516623571833,136.8023174148816,132.24481617349272
20,130.4837072763454,133.51976390066176,131.42375544080122,136.69882075478702,132.07863381746577
21,130.33510043044544,133.4069856912993,131.29738282697764,136.61426300446422,131.94483996512736
22,130.2209011127157,133.319122128304,131.2015370864168,136.54625623672246,131.8393089116314
23,130.13663895169478,133.25268301971275,131.13189642991378,136.49250130762235,131.7580776503848
24,130.07806454971123,133.20442896242466,131.084457452029,136.45086011513052,131.69746733919825
25,130.04125963580194,133.17143607972602,131.05561277208668,136.4194000852588,131.6541574635341
26,130.02270165916286,133.15112523699568,131.04218505566047,136.39641477602777,131.62521942630121
27,130.01928990398105,133.14126399026165,131.04142772176772,136.38042607310535,131.60811894935927
28,130.0283423305023,133.1399497203908,131.05100280383314,136.37017362781125,131.60069693856408
29,130.04757238483148,133.1455813451684,131.06894506771215,136.36459650204105,131.6011372702864
30,130.07505379866447,133.15682539689863,131.09361947907703,136.3628109195561,131.60792812718051
