,Sterman biomass,NE_OP trf_linear  biomass,NE_OP trf_linear (constrained) biomass,NE_OP trf_soft_l1  biomass,NE_OP trf_soft_l1 (constrained) biomass,NE_OP trf_huber  biomass,NE_OP trf_huber (constrained) biomass,NE_OP dogbox_huber (constrained) biomass
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
1,10.567829037499257,10.848605242046778,10.75245010755535,10.956024671108933,10.775967823925416,10.968830153100319,10.809467734614405,10.730976999733546
2,12.327719566691727,12.87908291600185,12.690222410352439,13.088911105598568,12.734792470917737,13.113942877664448,12.799520177969764,12.647225950280731
3,14.098358953966141,14.907871875975983,14.630846901848916,15.214338562430454,14.693477714090873,15.251018949925358,14.786699489149962,14.565876218320557
4,15.88091722965547,16.93478562449171,16.574760363160845,17.331680051111537,16.652200483047288,17.379434506887993,16.770965435587648,16.48715647243332
5,17.675858842147033,18.959484648554067,18.52196646155657,19.440359836980903,18.61086068752478,19.49861836236781,18.752143137099342,18.410973188642398
6,19.48318675971868,20.981532491888906,20.47219351805765,21.539843256765533,20.569180196949556,21.608041662644343,20.729966956557565,20.33702556362878
7,21.302588897735024,23.000429936719424,22.42498824682826,23.629629756793527,22.52676260907624,23.707210787236136,22.70410824013082,22.264874785913335
8,23.133531258180017,25.01563705413026,24.37977484499166,25.709247926927187,24.48313145134983,25.795662263053483,24.674193817743657,24.19398823573077
9,24.97532007599068,27.02658808175863,26.33589403750545,27.778251839020946,26.437755725266154,27.872958997183737,26.639818883152568,26.123768998955008
10,26.827144984173746,29.032701836458795,28.292629892196828,29.836218274832504,28.390067629207067,29.938687410561144,28.600556283935333,28.053576324928546
11,28.688110045127086,31.033389227437247,30.24922883980056,31.88274458118185,30.33947523881673,31.9924552082728,30.555963424316435,29.982740258724473
12,30.557256736998674,33.02805881822472,32.204913539464705,33.91744697975135,32.285371818831926,34.03388961231798,32.50558752612433,31.91057239003414
13,32.433581433628895,35.016121034766854,34.15889322616331,35.93995921394618,34.22714281487604,36.06263593801251,34.44896972717741,33.83637393272437
14,34.31604900734653,36.996991408401975,36.11037158935534,37.94993145037243,36.16417120418203,38.07835643063007,36.385648335223806,35.75944191951035
15,36.20360363078461,38.97009311405268,38.05855287582473,39.94702937568323,38.09584165767994,40.080729302264785,38.315161454396275,37.67907403329978
16,38.09517750668706,40.9348589823189,40.00264668618964,41.930933445294734,40.02154382256063,42.06944792480392,40.237049135687656,39.59457243074321
17,39.98969803068248,42.89073311083752,41.94187179049472,43.901338251439626,41.940674941218084,44.04422014598407,42.15085515946795,41.50524680576561
18,41.88609374397299,44.837172164604716,43.875459193087046,45.857951985828954,43.85264196037199,46.0047677033998,44.05612852849996,43.41041686920467
19,43.78329933295673,46.7736464305892,45.80265461266658,47.80049597785383,45.756863241904014,47.950825717067154,45.95242472939515,45.30941437201525
20,45.68025986405636,48.69964067500292,47.72272049911241,49.72870429343699,47.65276995761725,49.88214224538127,47.83930680595483,47.201584765808846
21,47.575934393923376,50.614654839588304,49.63493767764631,51.642323382777434,49.53980722943456,51.79847789248567,49.71634627743034,49.08628857077331
22,49.46929906101455,52.51820460465357,51.53860668879608,53.54111176761333,51.41743506172017,53.69960545749071,51.583123927149174,50.96290250405306
23,51.35934973992145,54.409821840301184,53.43304887665933,55.42483976046388,53.28512910162995,55.58530961784294,53.4392304813523,52.830820409367625
24,53.24510432187884,56.28905496265843,55.31760726628699,57.29328920974117,55.14238125546031,57.45538664060223,55.284267193903126,54.689454019610565
25,55.125604671628935,58.15546920845945,57.19164726235219,59.14625326575004,56.988700183055585,59.309644116529626,57.11784634936783,56.53823357745591
26,56.99991830093521,60.00864683871966,59.054557194786796,60.98353616349135,58.8236116878827,61.147900712802006,58.939591694556704,58.37660833395435
27,58.86713979159328,61.84818728025737,60.90574873215824,62.80495301890429,60.6466590169969,62.96998594090293,60.74913880676153,60.20404694127311
28,60.72639199511926,63.67370721229069,62.74465717980374,64.6103296357675,62.45740308252227,64.77573993683346,62.54613540548513,62.02003775279963
29,62.57682703194318,65.48484060415412,64.57074167683767,66.3995023209553,64.25542261425635,66.56501325127192,64.33024161333466,63.82408904156078
30,64.41762710955847,67.28123870925339,66.38348530388575,68.17231770613782,66.04031425143316,68.33766664771063,66.10113017086442,65.61572914614003
31,66.24800517643381,69.06257001964704,68.1823951116183,69.92863257433835,67.81169258043771,70.09357090692822,67.85848660945253,67.3945065518822
32,68.06720542640144,70.8285201850622,69.96700207873984,71.66831369003249,69.56919012427836,71.83260663643112,69.60200938573544,69.15998991407076
33,69.87450366656182,72.57879189968602,71.73686100695666,73.39123763169985,71.31245728883253,73.55466408372872,71.33140998067553,70.91176802887793
34,71.66920756039048,74.31310475969734,73.4915503595242,75.09729062593138,73.04116227024221,75.25964295250053,73.0464129659736,72.64944975717356
35,73.45065675662362,76.03119509419444,75.23067204922324,76.78636838235607,74.75499092731513,76.94745222087775,74.74675604024348,74.37266390569684
