,Sterman soil,SC_SLP trf_linear  soil,SC_SLP trf_linear (constrained) soil,SC_SLP trf_huber (constrained) soil,SC_SLP dogbox_linear (constrained) soil,SC_SLP dogbox_huber (constrained) soil
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,74.5,74.5,74.5,74.5,74.5,74.5
1,73.46698047648289,73.70263535900541,73.54121323212667,73.61380966308379,73.54121285132749,73.61380952526153
2,72.46458729074075,72.92557774124322,72.60901944759343,72.75101352671177,72.60901875794202,72.75101341225816
3,71.49503322892738,72.17084630759813,71.70575671432101,71.9137644859543,71.70575483736974,71.9137637252302
4,70.56079840181607,71.44073151614114,70.83408316239827,71.10450943921535,70.83407845785138,71.10450668999736
5,69.66460413740288,70.73777236841208,69.99694868536858,70.32596475425403,69.9969389905516,70.3259582052468
6,68.8093636923164,70.0647083810589,69.1975363757603,69.58106437021549,69.19751928328317,69.58105197902572
7,67.99810549376267,69.42440164944789,68.43916823067151,68.87287546953296,68.43914138052565,68.87285521471166
8,67.23386641459732,68.81972686899483,67.72517268515111,68.2044793348531,67.7251340389402,68.20444945407614
9,66.51955571524775,68.25343131150176,67.05871650468944,67.57881946228935,67.0586645664618,67.57877864573022
10,65.85779474312626,67.7279722802235,66.44261020081123,66.99852498873707,66.44254415340839,66.99847250029737
11,65.25074283261117,67.24534565306035,65.879103414138,66.46572411557982,65.87902315274243,66.46565982551508
12,64.69992514884467,66.80692432468327,65.36969289805445,65.98186791690219,65.3695989616143,65.98179224577966
13,64.2060820710545,66.41332790957847,64.91496871262639,65.54758778643537,64.91486213420663,65.54750157813034
14,63.7690605963057,66.06434347838594,64.5145222227148,65.16260816254795,64.51440433536916,65.16251251773386
15,63.3877650720925,65.7589108809418,64.16693192110984,64.82572950514336,64.16680416151947,64.82562561197244
16,63.06017726781574,65.49517636196445,63.86983119793532,64.53488582886101,63.86969494425243,64.53477482277702
17,62.783445642515545,65.27060707489503,63.620048830948456,64.28726898240181,63.61990529677139,64.28715185455572
18,62.55403304089087,65.08214969794706,63.41380173445035,64.07950152281789,63.41365192336104,64.0793790813026
19,62.36790365631098,64.92641104090129,63.24691323317711,63.90783410216153,63.246757943728106,63.90770697745453
20,62.22072595585579,64.79983823260741,63.1150299094019,63.768342827153816,63.11486977249324,63.768211506029225
21,62.1080689762968,64.69888008601313,63.01381501436468,63.65710633700451,63.01365054401419,63.65697120820414
22,62.02557409110395,64.62011772900797,62.9391043224998,63.57034940216963,62.93893596503297,63.570210800569285
23,61.96909118858519,64.56035950346715,62.887018649889356,63.50454742013326,62.88684682263754,63.504405661454264
24,61.93477521643837,64.51670089593554,62.85403416962543,63.45649253043196,62.85385928591029,63.456347933588965
25,61.919144770032354,64.48655410014726,62.83701622582748,63.42332632310712,62.836838707038176,63.423179220883576
26,61.91910813937084,64.46765368318795,62.83322454391141,63.402546210225225,62.833044821601554,63.40239695088495
27,61.93196398486535,64.45804514248015,62.84029806268348,63.39199290781743,62.840116574207066,63.39184185081314
28,61.95538401026798,64.45606246282337,62.85622675819273,63.38982575049602,62.85604393904719,63.38967325913803
29,61.987384210193106,64.46029962486932,62.87931640940155,63.39449129824392,62.87913268467406,63.39433773150814
30,62.02629000529626,64.46957975061562,62.908150717552545,63.40468930610384,62.907966494028436,63.40453501100813
31,62.07069921510587,64.4829244180007,62.94155379668234,63.41933885784176,62.941369456458965,63.41918416317421
32,62.119445579963404,64.49952473503454,62.97855491884421,63.43754642594336,62.97837081476794,63.43739163764792
33,62.171564531240676,64.5187150546898,63.01835654658225,63.45857683669508,63.01817299948525,63.458422234907864
34,62.22626214426536,64.53994971280581,63.060306088605174,63.48182756701375,63.0601233861277,63.48167340456589
35,62.28288766825812,64.56278284281447,63.10387142358108,63.506806435799895,63.10368982028086,63.50665293792291
36,62.34090967059714,64.58685112095841,63.148620000102966,63.53311253051659,63.14843971853826,63.53295989546919
37,62.39989561437048,64.61185918646586,63.194201192918555,63.56042008826112,63.194022425414936,63.56026848861529
38,62.45949456872401,64.63756743300472,63.240331540448956,63.588464996816306,63.2401544513028,63.58831458117765
39,62.51942269893326,64.66378185835691,63.286782479625586,63.61703357038253,63.2866072075456,63.61688446536242
40,62.57945117330626,64.6903456728323,63.333370212209545,63.64595326940753,63.33319687284419,63.64580558170622
41,62.639396139735396,64.71713239278046,63.37994736923167,63.675085062294336,63.37977605767165,63.67493888079134
42,62.699110454193836,64.74404017672465,63.426396178744696,63.70431716108838,63.42622697192383,63.704172558867135
43,62.75847687902701,64.77098719386053,63.472622881639346,63.7335598987768,63.472455840584416,63.73341693503566
44,62.81740250573366,64.79790784546286,63.51855317793069,63.762741549830324,63.51838834983171,63.762600271650975
45,62.87581419226547,64.82474968783724,63.564128520168225,63.79180492664584,63.56396594025599,63.79166537060442
46,62.93365483721567,64.85147093029951,63.609303100846596,63.820704611997854,63.60914279407568,63.820566805614526
