,usda_soil,usda_biomass
0,108.0,2.1
5,90.9,9.0
15,77.3,44.9
25,72.4,73.8
35,71.8,98.0
45,73.1,120.0
55,74.9,138.6
65,76.8,156.1
75,78.7,172.4
85,80.6,187.8
95,82.2,202.2
105,83.7,215.6
115,85.3,228.2
125,86.7,239.9
