,Sterman biomass,SC_OP trf_linear  biomass,SC_OP trf_linear (constrained) biomass,SC_OP trf_soft_l1 (constrained) biomass,SC_OP trf_huber (constrained) biomass,SC_OP trf_cauchy (constrained) biomass
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,4.2,4.2,4.2,4.2,4.2,4.2
1,11.119662398199823,11.159260396337052,11.172532220295054,11.166252494401416,11.15551637818836,11.153440918237134
2,13.20657997727725,13.285090503002435,13.31071811001217,13.296123982498692,13.277448976607133,13.27025500877695
3,15.284014092125448,15.400442702100888,15.437559455173533,15.413046071539947,15.388810281511532,15.374178458776194
4,17.35159703828969,17.504710886966777,17.55249232423339,17.51681419362117,17.48904389483903,17.46521715482435
5,19.408973789174492,19.597354618713066,19.655013634939813,19.607230312436997,19.5776509641222,19.543320199067992
6,21.45580041861209,21.677885939546844,21.744669404288125,21.68410198351208,21.65417855413586,21.608397718933226
7,23.49174313419877,23.745860272636495,23.821046556445474,23.74724183544943,23.71821167416203,23.660332524438267
8,25.51647767141296,25.800869856015154,25.883766955851176,25.79646729456613,25.769367561643147,25.698988133232493
9,27.529688911684765,27.842538835585177,27.932482908603422,27.83160045640889,27.807291436661945,27.724214517070795
10,29.531070644535415,29.870519491826276,29.966873674421535,29.852468048386992,29.83165325716389,29.735852348586008
11,31.520325424699305,31.88448926839015,31.98664269823783,31.85890144970794,31.842145179003168,31.733736221574144
12,33.49716449277939,33.884148384233534,33.991515368812024,33.85073674729957,33.83847952668267,33.71769714534879
13,35.461307738578526,35.8692178806197,35.981237172486814,35.82781481385075,35.82038714299297,35.68756451123624
14,37.41248369286771,37.839437998802126,37.95557214917523,37.78998139871162,37.78761602544807,37.64316766588546
15,39.35042953763066,39.79456681355624,39.91430158351312,39.73708722533945,39.73993018354256,39.5843371854508
16,41.27489112767271,41.73437906765142,41.857222881735055,41.66898809091001,41.67710866855052,41.51090591789029
17,43.185623018428416,43.65866516622052,43.784148597150875,43.58554496501535,43.598944739871975,43.422709842449535
18,45.082388496163546,45.56723029984408,45.694905575896556,45.486624085262385,45.505245140651574,45.319588782800274
19,46.9649596077393,47.459893672313505,47.589334201035044,47.372097048212545,47.39582946170056,47.20138700138652
20,48.833117187814054,49.33648781430846,49.46728771782211,49.24184089454823,49.27052957739576,49.067953696107324
21,50.686650881882194,51.1968579681701,51.328631626513726,51.09573818767432,51.12918914069897,50.91914341576148
22,52.525359163944344,53.04086153194896,53.17324313180542,52.933677085199704,52.97166312706991,52.75481640718534
23,54.349049347904874,54.86836755321042,55.00101064008775,54.75555140292028,54.79781741906507,54.57483890438364
24,56.15753759202681,56.679256264872635,56.81183329733523,56.561260671057674,56.607528424982036,56.37908336794918
25,57.95064889595795,58.47341865676033,58.60562056173418,58.3507101826096,58.40068272613908,58.16742868152257
26,59.728217089988334,60.25075607767492,60.38229180617898,60.12381103374679,60.17717674835408,59.93976031084156
27,61.49008481631701,62.01117986367605,62.14177594658928,61.88048015625251,61.93691645396582,61.695970429985074
28,63.236103502201665,63.75461098899098,63.88401109266567,63.62064034204996,63.679817051368275,63.43595801866913
29,64.9661333249434,65.48097973655487,65.60894421824403,65.34422025990158,65.40580271953768,65.15962893385328
30,66.68004316872376,67.19022538566489,67.3165308488534,67.05115446439608,67.11480634544871,66.86689595843522
31,68.37771057336568,68.88229591462647,69.00673476444986,68.74138339736498,68.8067692726185,68.55767882942033
32,70.05902167513513,70.55714771659743,70.67952771560391,70.41485338189146,70.48164105930029,70.23190424763371
33,71.72387113973883,72.21474532710805,72.33488915167327,72.07151660909207,72.13937924508421,71.8895058707801
34,73.37216208770546,73.85506116196359,73.97280595970692,73.71133111786678,73.77994912485924,73.53042429143935
35,75.00380601236536,75.47807526442736,75.59327221300585,75.33426076782492,75.40332352925559,75.15460700140422
36,76.61872269066674,77.08377506074385,77.19628892841816,76.94027520560498,77.00948261082601,76.76200834361532
37,78.21684008708576,78.67215512319912,78.7818638315757,78.5293498248149,78.59841363534153,78.35258945281976
38,79.79809425090421,80.24321694003119,80.35001112938893,80.1014657198266,80.17011077767738,79.92631818597089
39,81.36242920714227,81.79696869160291,81.9007512892111,81.65660963366453,81.72457492184913,81.48316904329397
40,82.90979684144428,83.33342503233438,83.43411082416337,83.19477390023256,83.26181346483125,83.02312308086154
41,84.44015677922512,84.85260687796429,84.95012208418116,84.7159563811278,84.78184012385216,84.54616781545357
42,85.95347625939127,86.35454119777208,86.44882305240229,86.22016039729212,86.28467474691183,86.05229712241652
43,87.4497300029557,87.8392608114458,87.93025714656774,87.70739465575515,87.77034312631345,87.54151112718212
44,88.92890007686982,89.30680419032699,89.39447302515086,89.17767317172276,89.23887681503884,89.01381609106001
45,90.39097575339737,90.75721526280299,90.84152439796875,90.6310151862665,90.69031294583017,90.46922429187609
46,91.83595336535606,92.19054322365126,92.2714698410624,92.067445079869,92.12469405286856,91.90775389999125
47,93.26383615755263,93.60684234716963,93.68437261566083,93.48699228207974,93.54206789596421,93.32942885020108
48,94.67463413473499,95.0061718039514,95.08030049106932,94.88969117753406,94.94248728719273,94.73427870998641
49,96.06836390638293,96.38859548118602,96.4593255713427,96.27558100858705,96.32600991993003,96.12233854455658
50,97.44504852865548,97.75418180638445,97.8215241256236,97.64470577481103,97.69269820025227,97.49364877910136
51,98.80471734380818,99.10300357444439,99.16697642204093,98.9971141296028,99.04261908067994,98.84825505864355
52,100.14740581738913,100.43513777798385,100.49576656507801,100.33285927414374,100.3758438962551,100.18620810586205
53,101.47315537351618,101.75066544088342,101.807982336331,101.6519988489515,101.6924482029494,101.5075635772347
54,102.782013228532,103.04967145498698,103.10371503858892,102.95459482325897,102.99251161840726,102.81238191783017
55,104.07403222332583,104.33224441991895,104.38305934317464,104.24071338245078,104.27611766503446,104.10072821506006
56,105.34927065460413,105.59847648598341,105.64611314049371,105.51042481378323,105.54335361544604,105.37267205168536
57,106.60779210538364,106.84846320011532,106.89297739374416,106.76380339060859,106.79431034029167,106.62828735835411
58,107.84966527497247,108.08230335485946,108.12375599574544,108.00092725531908,108.02908215847837,107.8676522659319
59,109.07496380869591,109.30009884035617,109.33855562884894,109.22187830122017,109.24776668981238,109.09084895787173
60,110.28376612761473,110.5019544993157,110.53748562789643,110.42674205353718,110.45046471008304,110.29796352285534
61,111.47615525847425,111.68797798496594,111.72065784619514,111.61560754975282,111.63728000861188,111.48908580792434
62,112.65221866411355,112.85827962195917,112.88818652448086,112.78856721946725,112.80831924828988,112.66430927230607
63,113.81204807455366,114.01297227022528,114.0401881628422,113.94571676396566,113.96369182812548,113.82373084212672
64,114.95573931897486,115.15217119175928,115.17678139558048,115.08715503567184,115.10350974832498,114.96745076619194
65,116.08339215878249,116.2759939203315,116.29808686898063,116.2129839176596,116.22788747792565,116.09557247300293
66,117.19511012195119,117.38456013410865,117.40422712196936,117.32330820338699,117.33694182500045,117.20820242916545
67,118.29100033882773,118.47799153117394,118.4953264696369,118.41823547681149,118.43079180945145,118.30544999933767
68,119.37117337956215,119.55641170793358,119.57151088959925,119.4978759930376,119.50955853840713,119.38742730785219
69,120.4357430933279,120.61994604039678,120.63290791117727,120.56234255964101,120.57336508423694,120.45424910213819
70,121.4848264494808,121.66872156831485,121.67964650736891,121.61175041880693,121.6223363651938,121.50603261805888
71,122.51854338079829,122.70286688216473,122.71185698959076,122.64621713041306,122.65659902869355,122.54289744727075
72,123.53701662892966,123.72251201296046,123.72967090516404,123.66586245618082,123.67628133723746,123.56496540670187
73,124.54037159217938,124.72778832487562,124.73322093752022,124.67080824501174,124.68151305698208,124.57236041023772
74,125.52873617573587,125.7188284106576,125.72264080909997,125.66117831961886,125.67242534895789,125.56520834269475
75,126.50224064444964,126.69576598981442,126.69806518691922,126.63709836455644,126.64915066293584,126.54363693615375
76,127.46101747825499,127.65873580955234,127.65962959077476,127.59869581574483,127.6118226339391,127.5077756487178
77,128.4052012303216,128.6078735484418,128.607470304061,128.54609975158044,128.56057598139375,128.4577555457515
78,129.33492838801365,129.5433157227881,129.5417242871694,129.4794407857146,129.4955464109113,129.39370918365196
79,130.2503372367256,130.46519959568087,130.4625290934399,130.39885096157866,130.41687051869206,130.3157704961945
80,131.15156772665657,131.3736630886965,131.37002278763453,131.30446364872682,131.3246856985379,131.22407468349013
81,132.0387613425767,132.268844696225,132.2643438669005,132.19641344106148,132.21913005145896,132.11875810358575
82,132.91206097663235,133.15088340239248,133.14563118419176,133.07483605700105,133.10034229785808,132.99995816673132
83,133.7716108042291,134.01991860054918,134.0140238741147,133.93986824164347,133.96846169227427,133.867813232334
84,134.617556163025,134.8760900152907,134.86966128116492,134.79164767097348,134.82362794066464,134.72246250861292
85,135.45004343506005,135.71953762698084,135.71268289031968,135.63031285815683,135.66598112020165,135.5640459549638
86,136.26921993204132,136.5504015987417,136.54322825995152,136.45600306195837,136.4956616015625,136.39270418703742
87,137.07523378379722,137.36882220587668,137.36143695702643,137.26885819731675,137.31280997368344,137.208578384532
88,137.86823382990858,138.17493976769052,138.1674484945504,138.06901874810336,138.1175669709527,138.01181020169497
89,138.64836951451886,138.96889458167036,138.96140227122703,138.85662568208835,138.91007340281166,138.80254168052574
90,139.41579078432054,139.75082685999,139.74343751328863,139.63182036813205,139.69047008573474,139.5809151666671
91,140.1706479897097,140.52087666829982,140.51369321846266,140.39474449561615,140.45889777755582,140.34707322797001
92,140.91309178909657,141.27918386676333,141.27230810203523,141.14553999612448,141.21549711410796,141.10115857571233
93,141.64327305635481,142.0258880533013,142.01942054497232,141.88434896737942,141.96040854814242,141.84331398844984
94,142.3613427913888,142.76112850900313,142.7551685440601,142.61131359943627,142.6937722904918,142.57368223847462
95,143.06745203379378,143.48504414566594,143.4796896640244,143.32657610313436,143.41572825344073,143.2924060208531
96,143.76175177958066,144.19777345541968,144.1931209915898,144.03027864080013,144.1264159962672,143.99962788501415
97,144.4443929009334,144.89945446239756,144.89559909143884,144.7225632591945,144.82597467291686,144.6954901688549
98,145.11552606896421,145.59022467641068,145.58725996403055,145.40357182469316,145.5145429817711,145.38013493532955
99,145.77530167942854,146.27022104858457,146.26823900523925,146.0734459606867,146.1922591174702,146.05370391148614
100,146.42386978135954,146.93957992891598,146.93867096777268,146.73232698718348,146.8592607247517,146.71633842991207
101,147.06138000857894,147.5984370257081,147.59868992432982,147.3803558625966,147.51568485426313,147.3681793725501
102,147.68798151403925,148.24692736684213,148.24842923245828,148.0176731276936,148.16166792030944,148.00936711684312
103,148.30382290695007,148.88518526284287,148.88802150107122,148.6444188516853,148.79734566049322,148.64004148416646
104,148.9090521926395,149.51334427169633,149.51759855858393,149.26073258042817,149.42285309720694,149.26034169050362
105,149.5038167151002,150.13153716537764,150.13729142263074,149.866753286713,150.03832450093577,149.87040629932235
106,150.0882631021677,150.7398958980471,150.7472302713226,150.46261932261032,150.64389335532925,150.4703731766051
107,150.66253721327809,151.33855157587277,151.34754441600583,151.04846837384224,151.23969232400015,151.06037944798894
108,151.2267840897501,151.927634428438,151.9383622754838,151.62443741614797,151.82585321900925,151.64056145796806
109,151.78114790753685,152.5072737816931,152.519811351662,152.19066267360984,152.40250697099384,152.21105473111282
110,152.32577193239044,153.07759803240944,153.09201820657933,152.747279578905,152.96978360089895,152.77199393525729
111,152.86079847738313,153.638734624096,153.65510844078634,153.2944227354468,153.52781219326994,153.32351284660854
112,153.38636886272735,154.190810024338,154.20920667303406,153.83222588137932,154.07672087106477,153.86574431673017
113,153.9026233778373,154.73394970351708,154.75443652123548,154.36082185538706,154.6166367719457,154.39882024135173
114,154.4097012455737,155.26827811487465,155.2909205846633,154.88034256428207,155.14768602600952,154.922871530957
115,154.90774058861425,155.79391867587813,155.81878042734766,155.39091895232903,155.66999373491578,155.43802808310312
116,155.39687839789087,156.31099375085273,156.33813656263794,155.892680972269,156.18368395237349,155.94441875642323
117,155.87725050303655,156.81962463483964,156.84910843889347,156.385757558002,156.68887966594636,156.44217134626544
