,usda_soil,usda_biomass
0,129.3,2.1
5,112.3,9.5
15,100.6,33.7
25,100.3,55.0
35,102.8,74.5
45,106.2,89.5
55,109.4,102.8
65,112.6,114.8
75,115.3,125.5
85,117.7,135.2
95,119.8,143.8
105,121.6,151.3
115,123.4,157.9
125,124.8,163.7
