,Sterman biomass,SC_OH trf_linear  biomass,SC_OH trf_linear (constrained) biomass,SC_OH trf_soft_l1 (constrained) biomass,SC_OH trf_huber (constrained) biomass,SC_OH dogbox_huber (constrained) biomass
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,4.2,4.2,4.2,4.2,4.2,4.2
1,12.75164162774221,12.649327015815736,12.676460822221221,12.659177889373819,12.67347480391438,12.674207857881804
2,14.638669734956313,14.44989419320441,14.499517505812697,14.472154588866177,14.49727615558195,14.498675882114716
3,16.521893599570177,16.25822631878739,16.32741866455583,16.295207416360054,16.327925026705667,16.329925636386054
4,18.403906007577344,18.074039865590443,18.161051715483698,18.12780343265532,18.165134801289454,18.167671195730232
5,20.286398463779722,19.89703775140019,20.000920086398025,19.96939686671293,20.008606074393782,20.011613947274263
6,22.170459796476198,21.726909183437655,21.847255382663715,21.81943085194132,21.858026538672277,21.861442478459892
7,24.056759234204083,23.563329613106806,23.70009029838585,23.677338802782884,23.71307098046647,23.716832574509148
8,25.94566458526072,25.40596077204871,25.55930812438355,25.542545572331168,25.573401355665187,25.577447295331282
9,27.837321768397903,27.254450772311515,27.424677607763797,27.414468472606924,27.43866692755114,27.44293711408484
10,29.731710212371585,29.10843426003824,29.295878268244017,29.292518206729998,29.308504455659385,29.312940106409823
11,31.62868258703427,30.967532615973795,31.17251928441228,31.176099743564023,31.182538428677198,31.187082183349496
12,33.52799401880892,32.83135419846472,33.05415392095911,33.064613154205105,33.06038133684269,33.06497736340937
13,35.429324045624604,34.6994946260951,34.9402907852569,34.957454422715,34.9416339807998,34.9462280807016
14,37.33229343338279,36.57153709801843,36.830402778909324,36.854016239030805,36.82588581480301,36.83042552705976
15,39.236477275692685,38.44705275061285,38.723934339937564,38.753688779043955,38.71271532274542,38.71715002659035
16,41.14141535248177,40.325601049426886,40.62030739420727,40.655860474865584,40.60169042583518,40.605971441480385
17,43.04662043127423,42.20673021557229,42.518926315794225,42.55991877694185,42.49236892094538,42.496449608081775
18,44.951584999541176,44.08997768580636,44.419182114448795,44.46525090874344,44.384298948759934,44.38813480239307
19,46.85578678294649,45.97487060556165,46.320456011353436,46.37124461409299,46.27701949086623,46.28056823408867
20,48.758693311266875,47.86092635414595,48.22212252389885,48.277288896728685,48.170060894924404,48.17328256822725
21,50.65976572785314,49.74765310126514,50.12355215101929,50.18277475137333,50.062945426988584,50.06580247371879
22,52.55846199108963,51.63455039392638,52.024113729293425,52.08709588534818,51.95518784997753,51.95764519755362
23,54.45423958172998,53.5211097726662,53.923176514228714,53.989649429613905,53.846296027197454,53.84832116370511
24,56.34655780444265,55.40681541592304,55.8201120293334,55.88983663801783,55.735771549715324,55.73733459551497
25,58.23487975280735,57.29114481124148,57.714295716650035,57.7870635734654,57.62311038626885,57.62418416026089
26,60.11867399257818,59.173569451858185,59.60510841561256,59.68074177970431,59.507803554285175,59.50836363449407
27,61.9974160070205,61.053555557081815,61.49193769184961,61.57028893740589,61.38933781046455,61.38936258862103
28,63.87058943964839,62.93056481474157,63.37417903349594,63.45512950324417,63.26719635927168,63.26666708909272
29,65.73768716309984,64.80405514384506,65.25123692940583,65.33469533070573,65.14085957756696,65.13976041645563
30,67.59821219772377,66.67348147545688,67.12252584117401,67.20842627140892,67.00980575350498,67.00812379741704
31,69.45167849937702,68.53829654968665,68.98747107890557,69.07577075576779,68.87351183772846,68.87123714897909
32,71.2976116326866,70.39795172656045,70.84550958911686,70.93618635190141,70.73145420479514,70.72857983260779
33,73.13554934343551,72.25189780844467,72.69609066190573,72.78914030176243,72.58310942269293,72.57963141632257
34,74.96504204163635,74.0995858715963,74.5386765635329,74.63411003353741,74.42795502822648,74.42387244252095
35,76.78565320515612,75.94046810433137,76.37274309975498,76.47058364945545,76.26547030599663,76.2607851992931
36,78.59695971236744,77.77399864923234,78.19778011460191,78.29806038822883,78.09513706864448,78.0898544929321
37,80.39855211115925,79.59963444675948,80.01329192876588,80.11605106144042,79.91644043599356,79.91056841930826
38,82.19003483069645,81.41683607758846,81.81879772134172,81.9240784632845,81.72886961069887,81.72241913175175
39,83.97102634153143,83.22506860096902,83.61383185830752,83.72167775316193,83.53191864799857,83.52490360307581
40,85.74115926901347,85.02380238638769,85.39794417084701,85.50839681072475,85.3250872171662,85.31752437937396
41,87.50008046438725,86.8125139358209,87.17070018637662,87.28379656305998,87.10788135227511,87.09979032323908
42,89.24745103750278,88.59068669388454,88.93168131494207,89.04745128379578,88.87981418991555,88.8712173440803
43,90.98294635465808,90.35781184322056,90.6804849934827,90.79894886400628,90.64040669154599,90.6313291132544
44,92.70625600475324,92.11338908251302,92.41672479032147,92.53789105488177,92.38918834821565,92.37965776178203
45,94.41708373663725,93.85692738459166,94.14003047211791,94.26389368222014,94.12569786546266,94.11574455848657
46,96.11514737027198,95.58794573216258,95.85004803541747,95.97658683288158,95.84948382627245,95.8391405664712
47,97.80017868411228,97.30597382880201,97.54643970483971,97.67561501343187,97.56010533007394,97.54940727594142
48,99.47192328090343,99.01055278295793,99.2288838998669,99.36063728127934,99.25713260585366,99.24611721148105
49,101.1301404339217,100.70123576282768,100.89707517212206,101.03132734868764,100.94014759758274,100.92885451200243
50,102.77460291552816,102.37758862011411,102.55072411495844,102.68737366011813,102.60874452027525,102.59721548171265
51,104.40509680976608,104.03919048080834,104.18955724712171,104.32847944342473,104.26253038512898,104.25080911056801
52,106.02142131060613,105.68563430130341,105.8133168721874,105.95436273548805,105.90112549234006,105.88925756282674
53,107.62338850733066,107.31652738830668,107.42176091542161,107.56475638293526,107.52416389033004,107.51219663245443
54,109.21082315844362,108.93149188119136,109.01466273965994,109.1594080186471,109.13129380027692,109.1192761642867
55,110.78356245539855,110.53016519560478,110.59181094174798,110.73808001480391,110.72217800499861,110.71016044000817
56,112.34145577734961,112.11220042733403,112.15300913103682,112.30054941326861,112.29649420139839,112.28452852816461
57,113.88436443805047,113.6772667156154,113.69807569137741,113.84660783414459,113.85393531584454,113.84207459758518
58,115.41216142595115,115.22504956526201,115.22684352800844,115.37606136338344,115.39420978202028,115.38250819375266
59,116.92473113847367,116.75525112717263,116.73915980068452,116.88873042034845,116.91704178094407,116.90555447782086
60,118.42196911138284,118.2675904369721,118.2348856443425,118.38444960626647,118.42217144302272,118.41095442813783
61,119.90378174410792,119.76180361171993,119.71389587855647,119.863067534523,119.90935501216002,119.89846500429142
62,121.37008602181444,121.23764400480535,121.17607870698357,121.32444664377302,121.37836497210078,121.36785927384778
63,122.82080923497176,122.69488231932493,122.6213354079555,122.76846299485321,122.82899013534181,122.81892650210351
64,124.25588869711206,124.13330668041094,124.04958001732301,124.19500605249027,124.26103569508949,124.25147220531709
65,125.67527146142903,125.55272266714339,125.46073900461374,125.60397845280502,125.67432324088364,125.6653181680241
66,127.07891403681973,126.95295330483606,126.85475094351654,126.99529575761336,127.06869073864249,127.06030242517258
67,128.46678210393057,128.3338390186357,128.23156617765923,128.36888619652163,128.44399247600862,128.4362792099399
68,129.83885023172886,129.6952375495123,129.5911464826007,129.72469039780904,129.800098973995,129.79311886820858
69,131.19510159508266,131.0370238338481,130.93346472491223,131.06266110907924,131.13689686603905,131.13070774078693
70,132.5355276937964,132.35908984795046,132.25850451917898,132.38276290865122,132.45428874567293,132.44894801455905
71,133.86012807351497,133.66134441892262,133.56625988370703,133.68497190864423,133.7521929841083,133.74775754383825
72,135.1689100488772,134.9437130034208,134.85673489567864,134.96927545069312,135.0305435191158,135.02706964327825
73,136.4618884292685,136.20613743591124,136.1299433464555,136.23567179520987,136.28928961664874,136.28683285376633
74,137.73908524749368,137.4485756481133,137.38590839768742,137.4841698050853,137.52839560672214,137.52701068278344
75,139.00052949166286,138.67100136137574,138.62466223884334,138.7147886246985,138.74784059510918,138.74758132076633
76,140.2462568405582,139.87340375378173,139.84624574674146,139.9275573550774,139.9476181524568,139.9485373350478
77,141.47630940272288,141.05578710381658,141.05070814761578,141.1225147260227,141.12773598245454,141.12988534298267
78,142.6907354594918,142.2181704124587,142.2381066822195,142.29970876598176,142.288215570711,142.29164566588798
79,143.88958921216044,143.36058700556882,143.4085062744276,143.45919647042484,143.4290918160052,143.43385196543966
80,145.0729305334672,144.4830841184589,144.56197920376636,144.60104346944735,144.55041264558332,144.55655086417104
81,146.24082472354527,145.58572246451646,145.6986047822626,145.72532369528741,145.65223861616585,145.65980155171502
82,147.39334227048076,146.668575789746,146.81846903597216,146.83211905041708,146.734642502317,146.7436753784184
83,148.53055861559636,147.73173041506567,147.9216643915151,147.92151907683026,147.79770887380826,147.80825543793824
84,149.65255392356332,148.77528476816636,149.00828936791464,148.9936206271188,148.84153366357893,148.85363614040236
85,150.75941285742815,149.7993489067007,150.0784482740066,150.04852753789282,149.86622372786317,149.87992277768396
86,151.85122435862687,150.80404403452383,151.13225091165825,151.08635030606928,150.87189640001233,150.8872310823005
87,152.92808143204422,151.78950201265505,152.16981228500856,152.1072057685179,151.85867903949617,151.87568678140337
88,153.99008093616376,152.75586486657187,153.19125231591502,153.11121678552178,152.82670857751617,152.8454251472755
89,155.03732337834145,153.70328429138473,154.1966955657691,154.09851192847628,153.776131060609,153.79659054570072
90,156.06991271522463,154.63192115637412,155.18627096381726,155.06922517221832,154.7071011935607,154.72933598351221
91,157.08795615832722,155.54194501030045,156.16011154210386,156.02349559234565,155.6197818828906,155.64382265656732
92,158.0915639847625,156.43353358882422,157.11835417712987,156.96146706785638,156.51434378209996,156.54021949933292
93,159.08084935312493,157.3068723252977,158.0611393383025,157.88328798940694,157.3909648398146,157.41870273720207
94,160.05592812450473,158.16215386611196,158.9886108432313,158.78911097345912,158.2498298518838,158.27945544259578
95,161.0169186886104,158.99957759170456,159.90091561990943,159.67909258255725,159.09113001842837,159.12266709583687
96,161.96394179496698,159.81934914425375,160.79820347580142,160.5533930519496,159.91506250676323,159.94853315171554
97,162.89712038915195,160.62167996300607,161.68062687384406,161.41217602274205,160.72183002104953,160.75725461259722
98,163.81657945402299,161.40678682810514,162.5483407153519,162.25560828174545,161.51164037946316,161.54903760885782
99,164.7224458558876,162.17489141371163,163.40150212980578,163.08385950815503,162.28470609959842,162.3240929873613
100,165.61484819555844,162.92621985112726,164.24027027149037,163.8971020271762,163.0412439927579,163.0826359086314
101,166.49391666423367,163.66100230256075,165.06480612293444,164.6955105706886,163.78147476771406,163.82488545330193
102,167.35978290413777,164.37947254610017,165.8752723050979,165.47926204501988,164.50562264446347,164.55106423836816
103,168.21257987385346,165.0818675723855,166.67183289423895,166.24853530587998,165.21391497843226,165.26139804369896
104,169.05244171827306,165.76842719340505,167.45465324538583,167.00351094048816,165.90658189553025,165.95611544921024
105,169.87950364309353,166.43939366377523,168.22389982232986,167.74437105690654,166.58385593839373,166.63544748304204
106,170.6939017937773,167.09501131479877,168.9797400340485,168.47129908057798,167.2459717240995,167.29962728102666
107,171.495773138898,167.7355262015356,169.72234207746064,169.18447955804965,167.89316561358052,167.94888975768131
108,172.28525535778903,168.36118576306507,170.45187478640986,169.88409796784907,168.5256753929216,168.58347128890966
109,173.06248673241,168.9722384960616,171.16850748676686,170.57034053846638,169.1437399666655,169.2036094065469
110,173.8276060433455,169.5689336417579,171.8724098575363,171.24339407338263,169.74759906321387,169.8095425048393
111,174.5807524698485,170.15152088631854,172.56375179785013,171.9034457830734,170.3374929523657,170.40150955890573
112,175.32206549384094,170.72025007460542,173.24270329972475,172.55068312390557,170.91366217499342,170.9797498551886
113,176.05168480778164,171.27537093727292,173.90943432645736,173.1852936438357,171.47634728482186,171.54450273386504
114,176.76975022631274,171.8171328310939,174.56411469653344,173.80746483480846,172.0257886022389,172.09600734315399
115,177.47640160159403,172.34578449238109,175.20691397291498,174.41738399174696,172.56222598003527,172.63450240542306
116,178.17177874223586,172.8615738033384,175.8380013575782,175.01523807801814,173.08589858094143,173.16022599497038
117,178.8560213357397,173.36474757114496,176.45754559116708,175.6012135972505,173.59704466680245,173.67341532732814
