,soil_max,soil_min,bio_max,bio_min,soil_mean,bio_mean,soil_range,bio_range,sterman_soil,sterman_bio
NE_MBB,351.159253966496,216.56908367778803,204.1757294802685,187.68065529741608,263.02034084346684,198.0277388017098,134.59017028870798,16.49507418285242,216.56908367778803,187.68065529741608
NE_OH,202.99987242204554,165.8095099228488,372.57637304080225,316.66315186927415,180.08959391721956,342.3869457236438,37.19036249919674,55.91322117152811,165.8095099228488,316.66315186927415
NE_OP,251.48015059401138,198.14446381397295,186.95530840075824,176.32746559581733,216.82688554038867,182.62653525875302,53.33568678003843,10.627842804940911,198.14446381397295,176.32746559581733
SC_OH,349.87942340786685,170.28047197573926,217.13590147824436,191.59244331751518,202.6228633428425,200.43832726668361,179.5989514321276,25.543458160729188,174.86419934040535,217.13590147824436
SC_OP,397.7889252907426,172.11532562961065,186.1807769415135,180.47288844101357,223.51591012739468,183.82230844356468,225.67359966113196,5.707888500499934,172.11532562961065,180.47288844101357
SC_SLP,67.27647982815213,66.18054755168899,134.2205636721503,134.1911627597637,66.75757037994387,134.20668231265043,1.0959322764631452,0.029400912386591926,66.94148279466106,134.2148441774475
SE_SLP,103.81647852998489,101.13311010508048,141.96681115657728,141.9111545161107,102.7030426947609,141.93486583087613,2.6833684249044154,0.05565664046656593,102.92662747205034,141.96145393361965
SE_LSP,140.1262366099807,136.8047112097506,130.54319098161486,130.45314552144953,138.77073543427144,130.4846041536254,3.321525400230115,0.090045460165328,138.69322790489906,130.45314552144953
