,max,min,mean,sterman
NE_MBB,555,404,461,404
NE_OH,575,482,522,482
NE_OP,438,374,399,374
SC_OH,567,361,403,392
SC_OP,583,352,407,352
SC_SLP,201,200,200,201
SE_SLP,245,243,244,244
SE_LSP,270,267,269,269
