,max,min,mean,sterman
NE_MBB,2269,388,927,388
NE_OH,641,355,471,355
NE_OP,948,352,567,352
SC_OH,3219,623,1219,623
SC_OP,4086,856,1706,856
SC_SLP,79,58,70,79
SE_SLP,234,166,191,181
SE_LSP,215,154,194,193
